feature,importance
pm25_who_24h_average,429.0
pm25_who_24h_ratio,311.5
pm25_mean_6h,247.0
pm25_min_3h,244.0
pm25_lag_6h,243.5
temperature_humidity_interaction,232.5
temperature_lag_3h,222.5
pm25_who_24h_coverage,221.0
hour,208.0
day_of_week,200.5
pm25_std_6h,198.0
pm25_cv_6h,198.0
pm25_max_3h,188.5
sin_hour,185.5
humidity_lag_3h,178.0
temperature_mean_3h,158.5
temperature_std_3h,142.0
humidity_mean_3h,139.0
pm25,134.0
sensor_id,129.5
humidity_std_3h,129.5
cos_hour,123.5
temperature,120.0
cos_day_of_week,119.5
pm25_median_3h,112.0
pm25_mean_1h,107.0
pm25_range_3h,102.5
pm25_lag_3h,100.0
no2_std_3h,100.0
o3_lag_3h,93.0
humidity_lag_1h,89.5
pm25_std_3h,88.0
temperature_lag_1h,87.5
sin_day_of_week,85.5
o3_std_3h,83.5
pm25_humidity_interaction,83.5
pm25_delta_3h,83.0
temperature_mean_1h,82.5
humidity_mean_1h,81.0
pm25_lag_1h,79.5
no2_mean_3h,78.0
temperature_lag_15m,74.0
pm25_mean_3h,72.0
pm25_delta_1h,70.5
pm25_pct_change_1h,69.0
pm25_std_1h,66.0
pm25_delta_15m,63.0
pm25_lag_15m,59.0
humidity,58.5
humidity_lag_15m,54.0
o3_mean_3h,49.0
no2_mean_1h,42.0
o3_lag_1h,40.0
recent_gap_count_3h,39.5
o3_mean_1h,39.0
o3,31.5
o3_lag_15m,24.5
no2_lag_3h,23.0
pm25_slope_3h,18.5
no2,14.5
minute,13.0
is_weekend,9.0
no2_lag_1h,9.0
no2_lag_15m,5.0
recent_anomaly_count_3h,5.0
jump_flag,3.5
missing_flag,0.0
sampling_gap_flag,0.0
suspicious_value_flag,0.0
flatline_flag,0.0
possible_drift_flag,0.0
current_quality_review_flag,0.0
recent_missing_pm25_count_3h,0.0
