feature,importance
pm25,0.3411742689987117
day_of_week,0.11141654085446909
pm25_who_24h_average,0.08632783674771993
pm25_who_24h_ratio,0.08226634868951013
sin_hour,0.048809908425065676
pm25_humidity_interaction,0.0487136668693864
pm25_mean_1h,0.042973628974502784
pm25_min_3h,0.03432702164396906
pm25_lag_15m,0.01709423745503929
hour,0.014165476332419883
pm25_who_24h_coverage,0.011828550042801167
pm25_mean_6h,0.0090304131289734
cos_day_of_week,0.008787303076144332
pm25_lag_6h,0.00817260112133647
pm25_std_6h,0.007317919720946703
pm25_cv_6h,0.00724941634349721
temperature_lag_3h,0.006911792416995644
temperature_humidity_interaction,0.006296234754610459
no2_mean_1h,0.005710417886890154
temperature,0.005674775618849542
humidity_lag_3h,0.005518156701024125
pm25_median_3h,0.005108519296374348
temperature_lag_15m,0.004118868571187714
cos_hour,0.00408119091564545
temperature_mean_3h,0.004047430810231116
no2_mean_3h,0.00397750088157075
pm25_mean_3h,0.0036364353970365095
sin_day_of_week,0.003576489520747895
temperature_mean_1h,0.0034695386697072396
humidity_mean_3h,0.0032911432302672036
temperature_std_3h,0.0032577077849216224
humidity_std_3h,0.002868428295053298
temperature_lag_1h,0.0027651016543779276
pm25_slope_3h,0.00275041265899825
pm25_lag_3h,0.0026953870621894563
pm25_max_3h,0.0025387036096937523
pm25_delta_3h,0.0024456568980808268
pm25_std_3h,0.0022956060683731695
humidity,0.002219634289473497
humidity_lag_1h,0.0019861450897786215
pm25_range_3h,0.001979451185516216
o3_mean_3h,0.0018793272102186206
pm25_lag_1h,0.0017343980546114782
humidity_mean_1h,0.001696689753687052
o3,0.00165968726452314
no2_lag_15m,0.0016341597083173052
humidity_lag_15m,0.0015711791954856884
no2,0.0014800578493342302
o3_std_3h,0.0014317938551755209
sensor_id,0.001354694314367154
pm25_std_1h,0.0013378266175313408
no2_std_3h,0.0011323945583682005
o3_mean_1h,0.00107091960407183
pm25_pct_change_1h,0.0010541171621874738
is_weekend,0.0009395612401044758
pm25_delta_1h,0.0009309878850095972
o3_lag_1h,0.0008122013363146165
o3_lag_3h,0.0008083151105770006
pm25_delta_15m,0.0007445514697709736
o3_lag_15m,0.0007085440869628824
no2_lag_3h,0.00041810606209659296
no2_lag_1h,0.0003150854467965261
recent_gap_count_3h,0.0002413487344428937
minute,0.00023148156432323865
recent_anomaly_count_3h,0.00019057751625631357
jump_flag,3.332580889152497e-05
current_quality_review_flag,1.7141329082357817e-05
recent_missing_pm25_count_3h,5.446599020572974e-06
flatline_flag,2.030055888513669e-06
sampling_gap_flag,5.339852791493e-07
missing_flag,0.0
suspicious_value_flag,0.0
possible_drift_flag,0.0
