feature,importance
pm25_who_24h_average,0.24058149755001068
day_of_week,0.12614214420318604
pm25_who_24h_ratio,0.09187819808721542
pm25_mean_6h,0.05121738463640213
sin_hour,0.050492070615291595
pm25_min_3h,0.04757634550333023
pm25_median_3h,0.031417135149240494
hour,0.027830200269818306
cos_day_of_week,0.026247669011354446
pm25,0.02338898368179798
pm25_who_24h_coverage,0.022042980417609215
pm25_humidity_interaction,0.020785581320524216
pm25_max_3h,0.016220545396208763
pm25_mean_1h,0.014161905273795128
is_weekend,0.013446694239974022
temperature_lag_3h,0.009862003847956657
sin_day_of_week,0.009842272847890854
pm25_lag_6h,0.009098750539124012
temperature_mean_1h,0.00869891606271267
temperature_humidity_interaction,0.008621161803603172
pm25_mean_3h,0.008260056376457214
cos_hour,0.00763919111341238
temperature_mean_3h,0.007118199951946735
temperature_lag_1h,0.0064223529770970345
sensor_id,0.005516062490642071
pm25_range_3h,0.005501435603946447
humidity_mean_3h,0.00545538542792201
no2_mean_3h,0.005435243248939514
o3_lag_3h,0.005333968438208103
o3_mean_3h,0.004834979772567749
no2_mean_1h,0.003963020164519548
recent_gap_count_3h,0.0038607404567301273
no2_lag_3h,0.0036448142491281033
no2_std_3h,0.0034322908613830805
pm25_cv_6h,0.0034314715303480625
pm25_std_6h,0.0033869794569909573
o3_mean_1h,0.0033671825658529997
o3_std_3h,0.003347252495586872
humidity_lag_3h,0.0032177199609577656
temperature,0.0031579681672155857
o3_lag_15m,0.0031312762293964624
humidity,0.0031056017614901066
pm25_slope_3h,0.003048349404707551
temperature_lag_15m,0.0030213980935513973
pm25_lag_3h,0.0029095541685819626
humidity_mean_1h,0.00276370020583272
pm25_lag_1h,0.0027420034166425467
humidity_lag_15m,0.0027364722918719053
temperature_std_3h,0.0026386617682874203
pm25_delta_3h,0.0025984901003539562
pm25_lag_15m,0.0025805914774537086
pm25_std_3h,0.0025476450100541115
humidity_lag_1h,0.0024915107060223818
o3,0.002489602193236351
no2_lag_15m,0.0021657319739460945
humidity_std_3h,0.001946104341186583
pm25_pct_change_1h,0.001752078766003251
recent_anomaly_count_3h,0.0015560112660750747
pm25_std_1h,0.001263333368115127
o3_lag_1h,0.0012230344582349062
no2,0.0011292746057733893
pm25_delta_15m,0.0009453999227844179
no2_lag_1h,0.0007245517917908728
pm25_delta_1h,0.0006768127786926925
current_quality_review_flag,0.0005175230908207595
recent_missing_pm25_count_3h,0.0005093752988614142
minute,0.00047864695079624653
jump_flag,0.0003128303505945951
sampling_gap_flag,9.872662485577166e-05
suspicious_value_flag,1.6977017367025837e-05
missing_flag,0.0
flatline_flag,0.0
possible_drift_flag,0.0
