row_index,timestamp,sensor_id,city,feature,value,zscore_flag,mad_flag,iqr_flag,rolling_zscore_flag,isolation_forest_flag,lof_flag,anomaly_methods_triggered,methods,quality_flag,analytical_category
1019,2026-08-16T16:00:00Z,1,Tulkarem,aqi,637.0,True,True,True,True,True,True,6,"zscore,mad,iqr,rolling_zscore,isolation_forest,lof",SUSPICIOUS,MULTIVARIATE_ANOMALY
5512,2026-08-21T17:45:00Z,5,Nablus,pm25,96.88,True,True,True,True,True,True,6,"zscore,mad,iqr,rolling_zscore,isolation_forest,lof",SUSPICIOUS,MULTIVARIATE_ANOMALY
452,2026-08-10T18:00:00Z,1,Tulkarem,pm25,59.44,True,True,True,True,False,True,5,"zscore,mad,iqr,rolling_zscore,lof",SUSPICIOUS,MULTIVARIATE_ANOMALY
453,2026-08-10T18:15:00Z,1,Tulkarem,pm25,49.48,True,True,True,True,False,True,5,"zscore,mad,iqr,rolling_zscore,lof",SUSPICIOUS,MULTIVARIATE_ANOMALY
640,2026-08-12T17:00:00Z,1,Tulkarem,pm25,47.17,True,True,True,True,False,True,5,"zscore,mad,iqr,rolling_zscore,lof",SUSPICIOUS,PERSISTENT_SHIFT
641,2026-08-12T17:15:00Z,1,Tulkarem,pm25,50.41,True,True,True,True,False,True,5,"zscore,mad,iqr,rolling_zscore,lof",SUSPICIOUS,PERSISTENT_SHIFT
992,2026-08-16T09:15:00Z,1,Tulkarem,no2,12.36,True,True,True,True,True,False,5,"zscore,mad,iqr,rolling_zscore,isolation_forest",NORMAL,MULTIVARIATE_ANOMALY
1340,2026-08-20T00:30:00Z,1,Tulkarem,pm25,48.39,True,True,True,True,False,True,5,"zscore,mad,iqr,rolling_zscore,lof",SUSPICIOUS,ISOLATED_SPIKE
5512,2026-08-21T17:45:00Z,5,Nablus,aqi,252.0,True,True,False,True,True,True,5,"zscore,mad,rolling_zscore,isolation_forest,lof",SUSPICIOUS,MULTIVARIATE_ANOMALY
5513,2026-08-21T18:00:00Z,5,Nablus,pm25,63.78,True,True,True,False,True,True,5,"zscore,mad,iqr,isolation_forest,lof",SUSPICIOUS,MULTIVARIATE_ANOMALY
