feature,target,association_method,score,signed_score,n_observations,notes
pm25,target_pm25_1h,absolute_pearson,0.8864994841440664,0.8864994841440664,5445,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_humidity_interaction,target_pm25_1h,absolute_pearson,0.8808140851823094,0.8808140851823094,5445,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_mean_1h,target_pm25_1h,absolute_pearson,0.8783246692823065,0.8783246692823065,5445,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_lag_15m,target_pm25_1h,absolute_pearson,0.8670340353546416,0.8670340353546416,5419,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_mean_3h,target_pm25_1h,absolute_pearson,0.8319534898997005,0.8319534898997005,5445,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_min_3h,target_pm25_1h,absolute_pearson,0.8273227336574813,0.8273227336574813,5445,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_median_3h,target_pm25_1h,absolute_pearson,0.8267660493039695,0.8267660493039695,5445,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_lag_1h,target_pm25_1h,absolute_pearson,0.8161767336287422,0.8161767336287422,5418,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_mean_6h,target_pm25_1h,absolute_pearson,0.7455722231134397,0.7455722231134397,5445,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_max_3h,target_pm25_1h,absolute_pearson,0.724222337762096,0.724222337762096,5445,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_lag_3h,target_pm25_1h,absolute_pearson,0.669488662234992,0.669488662234992,5418,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
temperature_humidity_interaction,target_pm25_1h,absolute_pearson,0.6630749492001771,0.6630749492001771,5445,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
humidity,target_pm25_1h,absolute_pearson,0.6559723932702596,0.6559723932702596,5445,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
humidity_lag_15m,target_pm25_1h,absolute_pearson,0.6460626108194002,0.6460626108194002,5419,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
humidity_mean_1h,target_pm25_1h,absolute_pearson,0.6446599128133959,0.6446599128133959,5445,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
humidity_lag_1h,target_pm25_1h,absolute_pearson,0.6140822029305261,0.6140822029305261,5418,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
humidity_mean_3h,target_pm25_1h,absolute_pearson,0.6065396257345628,0.6065396257345628,5445,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
humidity_lag_3h,target_pm25_1h,absolute_pearson,0.4806943925315507,0.4806943925315507,5418,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
day_of_week,target_pm25_1h,absolute_pearson,0.4632049121570706,0.4632049121570706,5445,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_lag_6h,target_pm25_1h,absolute_pearson,0.4333479642184917,0.4333479642184917,5445,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
sin_day_of_week,target_pm25_1h,absolute_pearson,0.41563333661334345,-0.41563333661334345,5445,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
cos_hour,target_pm25_1h,absolute_pearson,0.3936143459375714,0.3936143459375714,5445,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
pm25_std_6h,target_pm25_1h,absolute_pearson,0.3467370455935063,0.3467370455935063,5445,Exploratory whole-dataset screening only; repeat on training folds in Phase 4.
