group,method,cluster,feature,count,mean,median,std,min,max
Tulkarem,KMeans,0,pm25,624,14.807756410256411,15.184999999999999,4.664055864707039,5.02,28.92
Tulkarem,KMeans,0,temperature,624,29.818894230769228,30.03,1.4359542422743379,25.5,33.76
Tulkarem,KMeans,0,humidity,624,44.084887820512826,44.230000000000004,4.223325922700476,29.04,55.4
Tulkarem,KMeans,0,no2,624,12.014102564102563,12.02,0.04127769629852632,11.84,12.14
Tulkarem,KMeans,0,o3,624,65.0869391025641,64.41,10.159144000738754,30.25,94.02
Tulkarem,KMeans,0,aqi,624,82.25801282051282,84.0,25.931180062148456,28.0,161.0
Tulkarem,KMeans,1,pm25,1003,19.63939182452642,19.15,5.90913517969163,6.49,59.44
Tulkarem,KMeans,1,temperature,1003,25.092901296111666,24.89,1.4094609242665248,22.48,30.75
Tulkarem,KMeans,1,humidity,1003,58.9375074775673,59.94,4.41806376073344,43.7,67.08
Tulkarem,KMeans,1,no2,1003,12.09816550348953,12.09,0.041753297483184446,11.99,12.38
Tulkarem,KMeans,1,o3,1003,49.057916251246255,51.19,12.54461630932842,-2.32,78.47
Tulkarem,KMeans,1,aqi,1003,108.14855433698904,106.0,33.69830431899856,36.0,637.0
Nablus,KMeans,0,pm25,1812,26.86762693156733,25.675,7.201073574625556,12.82,96.88
Nablus,KMeans,0,temperature,1812,29.664955849889626,29.395,1.8447608588735291,26.08,41.81
Nablus,KMeans,0,humidity,1812,64.55336092715233,65.07499999999999,6.113300895304335,39.74,78.32
Nablus,KMeans,0,aqi,1812,133.72682119205297,130.0,28.987875914287404,71.0,252.0
Nablus,KMeans,1,pm25,2196,14.214867941712203,13.81,3.273807425961294,6.78,25.03
Nablus,KMeans,1,temperature,2196,36.29104280510018,35.21,5.188715243916296,26.58,51.41
Nablus,KMeans,1,humidity,2196,41.078187613843355,41.035,11.367100943792993,19.61,67.58
Nablus,KMeans,1,aqi,2196,78.97040072859745,77.0,18.190125685627724,38.0,139.0
