sensor_id,city,source_feature,target_feature,lag_minutes,lag,correlation,absolute_correlation,n_observations
5,Nablus,humidity,temperature,0,+0 min,-0.9565764037865233,0.9565764037865233,829
5,Nablus,temperature,humidity,0,+0 min,-0.9565764037865233,0.9565764037865233,829
5,Nablus,temperature,humidity,-15,-15 min,-0.9565584390760671,0.9565584390760671,822
5,Nablus,humidity,temperature,15,+15 min,-0.9565584390760671,0.9565584390760671,822
5,Nablus,humidity,temperature,30,+30 min,-0.9497098842979713,0.9497098842979713,820
5,Nablus,temperature,humidity,-30,-30 min,-0.9497098842979713,0.9497098842979713,820
5,Nablus,humidity,temperature,-15,-15 min,-0.949065084910578,0.949065084910578,822
5,Nablus,temperature,humidity,15,+15 min,-0.9490650849105778,0.9490650849105778,822
5,Nablus,humidity,temperature,-30,-30 min,-0.9352368294651524,0.9352368294651524,820
5,Nablus,temperature,humidity,30,+30 min,-0.9352368294651523,0.9352368294651523,820
5,Nablus,temperature,humidity,-60,-1 h,-0.920313522526429,0.920313522526429,816
5,Nablus,humidity,temperature,60,+1 h,-0.9203135225264288,0.9203135225264288,816
1,Tulkarem,humidity,temperature,15,+15 min,-0.9014947666085256,0.9014947666085256,1619
1,Tulkarem,temperature,humidity,-15,-15 min,-0.9014947666085255,0.9014947666085255,1619
1,Tulkarem,temperature,humidity,0,+0 min,-0.9013228513312944,0.9013228513312944,1627
1,Tulkarem,humidity,temperature,0,+0 min,-0.9013228513312944,0.9013228513312944,1627
5,Nablus,temperature,humidity,60,+1 h,-0.8923971240689785,0.8923971240689785,816
5,Nablus,humidity,temperature,-60,-1 h,-0.8923971240689784,0.8923971240689784,816
1,Tulkarem,temperature,humidity,-30,-30 min,-0.8923030844437505,0.8923030844437505,1618
1,Tulkarem,humidity,temperature,30,+30 min,-0.8923030844437505,0.8923030844437505,1618
1,Tulkarem,temperature,humidity,15,+15 min,-0.885037012634249,0.885037012634249,1619
1,Tulkarem,humidity,temperature,-15,-15 min,-0.885037012634249,0.885037012634249,1619
1,Tulkarem,aqi,pm25,0,+0 min,0.8671106656914116,0.8671106656914116,1627
1,Tulkarem,pm25,aqi,0,+0 min,0.8671106656914116,0.8671106656914116,1627
1,Tulkarem,humidity,temperature,-30,-30 min,-0.8590616962686582,0.8590616962686582,1618
1,Tulkarem,temperature,humidity,30,+30 min,-0.8590616962686582,0.8590616962686582,1618
1,Tulkarem,humidity,temperature,60,+1 h,-0.8572354834919398,0.8572354834919398,1616
1,Tulkarem,temperature,humidity,-60,-1 h,-0.8572354834919397,0.8572354834919397,1616
4,Nablus,aqi,pm25,-15,-15 min,0.8528761871676008,0.8528761871676008,1589
4,Nablus,pm25,aqi,15,+15 min,0.8528761871676008,0.8528761871676008,1589
4,Nablus,pm25,aqi,0,+0 min,0.8519216146247541,0.8519216146247541,1597
4,Nablus,aqi,pm25,0,+0 min,0.8519216146247541,0.8519216146247541,1597
4,Nablus,pm25,aqi,-15,-15 min,0.8516574116289706,0.8516574116289706,1589
4,Nablus,aqi,pm25,15,+15 min,0.8516574116289706,0.8516574116289706,1589
4,Nablus,pm25,aqi,-30,-30 min,0.8466937600889904,0.8466937600889904,1587
4,Nablus,aqi,pm25,30,+30 min,0.8466937600889903,0.8466937600889903,1587
4,Nablus,aqi,pm25,-30,-30 min,0.8415920353518306,0.8415920353518306,1587
4,Nablus,pm25,aqi,30,+30 min,0.8415920353518306,0.8415920353518306,1587
1,Tulkarem,aqi,pm25,15,+15 min,0.8362634253687322,0.8362634253687322,1619
1,Tulkarem,pm25,aqi,-15,-15 min,0.8362634253687322,0.8362634253687322,1619
4,Nablus,pm25,aqi,-60,-1 h,0.8284396478103913,0.8284396478103913,1585
4,Nablus,aqi,pm25,60,+1 h,0.8284396478103911,0.8284396478103911,1585
1,Tulkarem,pm25,aqi,15,+15 min,0.8207166436795447,0.8207166436795447,1619
1,Tulkarem,aqi,pm25,-15,-15 min,0.8207166436795447,0.8207166436795447,1619
4,Nablus,pm25,aqi,60,+1 h,0.818860346066613,0.818860346066613,1585
4,Nablus,aqi,pm25,-60,-1 h,0.818860346066613,0.818860346066613,1585
5,Nablus,humidity,temperature,120,+2 h,-0.8033217073562998,0.8033217073562998,808
5,Nablus,temperature,humidity,-120,-2 h,-0.8033217073562997,0.8033217073562997,808
1,Tulkarem,pm25,aqi,-30,-30 min,0.7949085232785407,0.7949085232785407,1618
1,Tulkarem,aqi,pm25,30,+30 min,0.7949085232785406,0.7949085232785406,1618
1,Tulkarem,temperature,humidity,60,+1 h,-0.791459512971933,0.791459512971933,1616
1,Tulkarem,humidity,temperature,-60,-1 h,-0.791459512971933,0.791459512971933,1616
1,Tulkarem,aqi,pm25,-30,-30 min,0.7900953885687146,0.7900953885687146,1618
1,Tulkarem,pm25,aqi,30,+30 min,0.7900953885687146,0.7900953885687146,1618
4,Nablus,humidity,temperature,15,+15 min,-0.7865922831617436,0.7865922831617436,1589
4,Nablus,temperature,humidity,-15,-15 min,-0.7865922831617435,0.7865922831617435,1589
2,Nablus,aqi,pm25,0,+0 min,0.7858697065426276,0.7858697065426276,1582
2,Nablus,pm25,aqi,0,+0 min,0.7858697065426276,0.7858697065426276,1582
4,Nablus,temperature,humidity,0,+0 min,-0.7849990273601547,0.7849990273601547,1597
4,Nablus,humidity,temperature,0,+0 min,-0.7849990273601547,0.7849990273601547,1597
4,Nablus,temperature,humidity,-30,-30 min,-0.7836337315153759,0.7836337315153759,1587
4,Nablus,humidity,temperature,30,+30 min,-0.7836337315153757,0.7836337315153757,1587
2,Nablus,aqi,pm25,15,+15 min,0.7823226203921608,0.7823226203921608,1575
2,Nablus,pm25,aqi,-15,-15 min,0.7823226203921607,0.7823226203921607,1575
2,Nablus,aqi,pm25,30,+30 min,0.7791481405928558,0.7791481405928558,1574
2,Nablus,pm25,aqi,-30,-30 min,0.7791481405928558,0.7791481405928558,1574
2,Nablus,pm25,aqi,15,+15 min,0.7788411552600814,0.7788411552600814,1575
2,Nablus,aqi,pm25,-15,-15 min,0.7788411552600814,0.7788411552600814,1575
2,Nablus,humidity,temperature,15,+15 min,-0.7773045192211951,0.7773045192211951,1575
2,Nablus,temperature,humidity,-15,-15 min,-0.777304519221195,0.777304519221195,1575
2,Nablus,temperature,humidity,0,+0 min,-0.7761041168650554,0.7761041168650554,1582
2,Nablus,humidity,temperature,0,+0 min,-0.7761041168650554,0.7761041168650554,1582
4,Nablus,humidity,temperature,-15,-15 min,-0.7740893398139203,0.7740893398139203,1589
4,Nablus,temperature,humidity,15,+15 min,-0.7740893398139201,0.7740893398139201,1589
2,Nablus,aqi,pm25,-30,-30 min,0.7727828315315087,0.7727828315315087,1574
2,Nablus,pm25,aqi,30,+30 min,0.7727828315315087,0.7727828315315087,1574
2,Nablus,temperature,humidity,-30,-30 min,-0.7725096155867208,0.7725096155867208,1574
2,Nablus,humidity,temperature,30,+30 min,-0.7725096155867208,0.7725096155867208,1574
4,Nablus,pm25,aqi,-120,-2 h,0.767385852062459,0.767385852062459,1581
4,Nablus,aqi,pm25,120,+2 h,0.767385852062459,0.767385852062459,1581
4,Nablus,temperature,humidity,-60,-1 h,-0.7653212283337378,0.7653212283337378,1585
4,Nablus,humidity,temperature,60,+1 h,-0.7653212283337378,0.7653212283337378,1585
2,Nablus,pm25,aqi,-60,-1 h,0.7648105670053365,0.7648105670053365,1572
2,Nablus,aqi,pm25,60,+1 h,0.7648105670053365,0.7648105670053365,1572
4,Nablus,aqi,pm25,-120,-2 h,0.7635721933497598,0.7635721933497598,1581
4,Nablus,pm25,aqi,120,+2 h,0.7635721933497598,0.7635721933497598,1581
2,Nablus,humidity,temperature,-15,-15 min,-0.7631129101462338,0.7631129101462338,1575
2,Nablus,temperature,humidity,15,+15 min,-0.7631129101462338,0.7631129101462338,1575
1,Tulkarem,temperature,humidity,-120,-2 h,-0.7599881075221953,0.7599881075221953,1612
1,Tulkarem,humidity,temperature,120,+2 h,-0.7599881075221951,0.7599881075221951,1612
2,Nablus,aqi,pm25,-60,-1 h,0.7586121200792625,0.7586121200792625,1572
2,Nablus,pm25,aqi,60,+1 h,0.7586121200792625,0.7586121200792625,1572
4,Nablus,temperature,humidity,30,+30 min,-0.7580680305746684,0.7580680305746684,1587
4,Nablus,humidity,temperature,-30,-30 min,-0.7580680305746684,0.7580680305746684,1587
2,Nablus,temperature,humidity,-60,-1 h,-0.751880978055977,0.751880978055977,1572
2,Nablus,humidity,temperature,60,+1 h,-0.751880978055977,0.751880978055977,1572
5,Nablus,temperature,humidity,120,+2 h,-0.7488473085482849,0.7488473085482849,808
5,Nablus,humidity,temperature,-120,-2 h,-0.7488473085482847,0.7488473085482847,808
1,Tulkarem,pm25,aqi,60,+1 h,0.7448103438946656,0.7448103438946656,1616
1,Tulkarem,aqi,pm25,-60,-1 h,0.7448103438946655,0.7448103438946655,1616
1,Tulkarem,pm25,aqi,-60,-1 h,0.7442411153531017,0.7442411153531017,1616
1,Tulkarem,aqi,pm25,60,+1 h,0.7442411153531016,0.7442411153531016,1616
2,Nablus,temperature,humidity,30,+30 min,-0.7434757951302722,0.7434757951302722,1574
2,Nablus,humidity,temperature,-30,-30 min,-0.7434757951302722,0.7434757951302722,1574
2,Nablus,humidity,pm25,0,+0 min,0.7383005147859452,0.7383005147859452,1582
2,Nablus,pm25,humidity,0,+0 min,0.7383005147859452,0.7383005147859452,1582
2,Nablus,pm25,humidity,-15,-15 min,0.7359749308515219,0.7359749308515219,1575
2,Nablus,humidity,pm25,15,+15 min,0.7359749308515219,0.7359749308515219,1575
5,Nablus,pm25,aqi,0,+0 min,0.7345603270629711,0.7345603270629711,829
5,Nablus,aqi,pm25,0,+0 min,0.7345603270629711,0.7345603270629711,829
4,Nablus,humidity,pm25,0,+0 min,0.7341912594255934,0.7341912594255934,1597
4,Nablus,pm25,humidity,0,+0 min,0.7341912594255933,0.7341912594255933,1597
2,Nablus,humidity,pm25,-15,-15 min,0.7326658798186445,0.7326658798186445,1575
2,Nablus,pm25,humidity,15,+15 min,0.7326658798186445,0.7326658798186445,1575
4,Nablus,humidity,pm25,15,+15 min,0.7321128437240736,0.7321128437240736,1589
4,Nablus,pm25,humidity,-15,-15 min,0.7321128437240735,0.7321128437240735,1589
2,Nablus,humidity,pm25,30,+30 min,0.7311963939183134,0.7311963939183134,1574
2,Nablus,pm25,humidity,-30,-30 min,0.7311963939183134,0.7311963939183134,1574
4,Nablus,humidity,pm25,30,+30 min,0.7280971692013998,0.7280971692013998,1587
4,Nablus,pm25,humidity,-30,-30 min,0.7280971692013998,0.7280971692013998,1587
4,Nablus,humidity,pm25,-15,-15 min,0.7279846968646377,0.7279846968646377,1589
4,Nablus,pm25,humidity,15,+15 min,0.7279846968646376,0.7279846968646376,1589
4,Nablus,aqi,humidity,0,+0 min,0.7276547195170705,0.7276547195170705,1597
4,Nablus,humidity,aqi,0,+0 min,0.7276547195170705,0.7276547195170705,1597
4,Nablus,aqi,humidity,-15,-15 min,0.7254537206537466,0.7254537206537466,1589
4,Nablus,humidity,aqi,15,+15 min,0.7254537206537465,0.7254537206537465,1589
2,Nablus,pm25,humidity,30,+30 min,0.7234455133222991,0.7234455133222991,1574
2,Nablus,humidity,pm25,-30,-30 min,0.7234455133222991,0.7234455133222991,1574
2,Nablus,aqi,pm25,120,+2 h,0.7225209225037664,0.7225209225037664,1568
2,Nablus,pm25,aqi,-120,-2 h,0.7225209225037664,0.7225209225037664,1568
4,Nablus,aqi,humidity,15,+15 min,0.7224540641201079,0.7224540641201079,1589
4,Nablus,humidity,aqi,-15,-15 min,0.7224540641201079,0.7224540641201079,1589
2,Nablus,aqi,pm25,-120,-2 h,0.7223187177874556,0.7223187177874556,1568
2,Nablus,pm25,aqi,120,+2 h,0.7223187177874556,0.7223187177874556,1568
4,Nablus,humidity,aqi,30,+30 min,0.7197088433021224,0.7197088433021224,1587
4,Nablus,aqi,humidity,-30,-30 min,0.7197088433021224,0.7197088433021224,1587
4,Nablus,pm25,humidity,30,+30 min,0.7192946976209356,0.7192946976209356,1587
4,Nablus,humidity,pm25,-30,-30 min,0.7192946976209355,0.7192946976209355,1587
2,Nablus,humidity,pm25,60,+1 h,0.715345509660443,0.715345509660443,1572
2,Nablus,pm25,humidity,-60,-1 h,0.7153455096604429,0.7153455096604429,1572
4,Nablus,aqi,humidity,30,+30 min,0.7142246408803776,0.7142246408803776,1587
4,Nablus,humidity,aqi,-30,-30 min,0.7142246408803775,0.7142246408803775,1587
4,Nablus,pm25,humidity,-60,-1 h,0.7131771975466126,0.7131771975466126,1585
4,Nablus,humidity,pm25,60,+1 h,0.7131771975466126,0.7131771975466126,1585
4,Nablus,humidity,temperature,-60,-1 h,-0.710388104518435,0.710388104518435,1585
4,Nablus,temperature,humidity,60,+1 h,-0.710388104518435,0.710388104518435,1585
4,Nablus,aqi,humidity,-60,-1 h,0.702242222698752,0.702242222698752,1585
4,Nablus,humidity,aqi,60,+1 h,0.7022422226987519,0.7022422226987519,1585
4,Nablus,pm25,aqi,-180,-3 h,0.6990605162708425,0.6990605162708425,1577
4,Nablus,aqi,pm25,180,+3 h,0.6990605162708425,0.6990605162708425,1577
4,Nablus,aqi,pm25,-180,-3 h,0.698370888103815,0.698370888103815,1577
4,Nablus,pm25,aqi,180,+3 h,0.698370888103815,0.698370888103815,1577
2,Nablus,pm25,humidity,60,+1 h,0.6977417354725057,0.6977417354725057,1572
2,Nablus,humidity,pm25,-60,-1 h,0.6977417354725056,0.6977417354725056,1572
5,Nablus,pm25,aqi,-15,-15 min,0.6966895340328012,0.6966895340328012,822
5,Nablus,aqi,pm25,15,+15 min,0.6966895340328012,0.6966895340328012,822
5,Nablus,aqi,pm25,-15,-15 min,0.695075617618233,0.695075617618233,822
5,Nablus,pm25,aqi,15,+15 min,0.695075617618233,0.695075617618233,822
4,Nablus,humidity,pm25,-60,-1 h,0.6935162333228255,0.6935162333228255,1585
4,Nablus,pm25,humidity,60,+1 h,0.6935162333228254,0.6935162333228254,1585
4,Nablus,humidity,temperature,120,+2 h,-0.693337797947591,0.693337797947591,1581
4,Nablus,temperature,humidity,-120,-2 h,-0.6933377979475909,0.6933377979475909,1581
2,Nablus,humidity,temperature,-60,-1 h,-0.6902958516361564,0.6902958516361564,1572
2,Nablus,temperature,humidity,60,+1 h,-0.6902958516361564,0.6902958516361564,1572
2,Nablus,humidity,aqi,0,+0 min,0.6898177502940276,0.6898177502940276,1582
2,Nablus,aqi,humidity,0,+0 min,0.6898177502940276,0.6898177502940276,1582
