feature_a,feature_b,correlation,absolute_correlation,recommendation
pm25_delta_3h,pm25_slope_3h,0.9999999999999963,0.9999999999999963,Review together; retain the more interpretable or validation-stable feature rather than dropping automatically.
temperature_lag_15m,temperature_mean_1h,0.9986941245646785,0.9986941245646785,Review together; retain the more interpretable or validation-stable feature rather than dropping automatically.
humidity_lag_15m,humidity_mean_1h,0.9984119945930576,0.9984119945930576,Review together; retain the more interpretable or validation-stable feature rather than dropping automatically.
pm25_mean_3h,pm25_median_3h,0.9936542031352811,0.9936542031352811,Review together; retain the more interpretable or validation-stable feature rather than dropping automatically.
temperature_lag_1h,temperature_mean_3h,0.9902473139508341,0.9902473139508341,Review together; retain the more interpretable or validation-stable feature rather than dropping automatically.
humidity_lag_1h,humidity_mean_3h,0.9892344950234376,0.9892344950234376,Review together; retain the more interpretable or validation-stable feature rather than dropping automatically.
pm25_std_3h,pm25_range_3h,0.9873961590490069,0.9873961590490069,Review together; retain the more interpretable or validation-stable feature rather than dropping automatically.
pm25_lag_15m,pm25_mean_1h,0.9836430272956648,0.9836430272956648,Review together; retain the more interpretable or validation-stable feature rather than dropping automatically.
o3_lag_15m,o3_mean_1h,0.980703748175392,0.980703748175392,Review together; retain the more interpretable or validation-stable feature rather than dropping automatically.
temperature_lag_1h,temperature_mean_1h,0.9800047066570009,0.9800047066570009,Review together; retain the more interpretable or validation-stable feature rather than dropping automatically.
humidity_lag_1h,humidity_mean_1h,0.9785464089608148,0.9785464089608148,Review together; retain the more interpretable or validation-stable feature rather than dropping automatically.
pm25_median_3h,pm25_min_3h,0.9741815869881911,0.9741815869881911,Review together; retain the more interpretable or validation-stable feature rather than dropping automatically.
pm25_mean_3h,pm25_min_3h,0.9710926304961243,0.9710926304961243,Review together; retain the more interpretable or validation-stable feature rather than dropping automatically.
temperature_lag_15m,temperature_lag_1h,0.9706297752668106,0.9706297752668106,Review together; retain the more interpretable or validation-stable feature rather than dropping automatically.
humidity_lag_15m,humidity_lag_1h,0.9679857188565828,0.9679857188565828,Review together; retain the more interpretable or validation-stable feature rather than dropping automatically.
temperature_mean_1h,temperature_mean_3h,0.96200720817257,0.96200720817257,Review together; retain the more interpretable or validation-stable feature rather than dropping automatically.
humidity_mean_1h,humidity_mean_3h,0.9610908956447036,0.9610908956447036,Review together; retain the more interpretable or validation-stable feature rather than dropping automatically.
pm25_lag_1h,pm25_mean_3h,0.9609666858497847,0.9609666858497847,Review together; retain the more interpretable or validation-stable feature rather than dropping automatically.
pm25_mean_1h,pm25_mean_3h,0.9588803033730081,0.9588803033730081,Review together; retain the more interpretable or validation-stable feature rather than dropping automatically.
pm25_lag_1h,pm25_median_3h,0.9577232733014565,0.9577232733014565,Review together; retain the more interpretable or validation-stable feature rather than dropping automatically.
pm25_mean_3h,pm25_mean_6h,0.9564476234084932,0.9564476234084932,Review together; retain the more interpretable or validation-stable feature rather than dropping automatically.
pm25_median_3h,pm25_mean_6h,0.9544688286983211,0.9544688286983211,Review together; retain the more interpretable or validation-stable feature rather than dropping automatically.
temperature_lag_15m,temperature_mean_3h,0.9512757698625068,0.9512757698625068,Review together; retain the more interpretable or validation-stable feature rather than dropping automatically.
