sensor_id,city,feature,start_time,end_time,readings,classification
1,Tulkarem,pm25,2026-08-15T21:15:00Z,2026-08-15T21:15:00Z,1,RANDOM_MISSING
1,Tulkarem,humidity,2026-08-15T21:15:00Z,2026-08-15T21:15:00Z,1,RANDOM_MISSING
2,Nablus,no2,2026-08-06T11:45:00Z,2026-08-23T00:30:00Z,1582,STRUCTURALLY_UNAVAILABLE
2,Nablus,o3,2026-08-06T11:45:00Z,2026-08-23T00:30:00Z,1582,STRUCTURALLY_UNAVAILABLE
4,Nablus,no2,2026-08-06T07:30:00Z,2026-08-23T00:30:00Z,1597,STRUCTURALLY_UNAVAILABLE
4,Nablus,o3,2026-08-06T07:30:00Z,2026-08-23T00:30:00Z,1597,STRUCTURALLY_UNAVAILABLE
5,Nablus,no2,2026-08-06T09:15:00Z,2026-08-23T00:30:00Z,829,STRUCTURALLY_UNAVAILABLE
5,Nablus,o3,2026-08-06T09:15:00Z,2026-08-23T00:30:00Z,829,STRUCTURALLY_UNAVAILABLE
1,Tulkarem,pm25,2026-08-07T01:00:00Z,2026-08-07T01:30:00Z,1,TIME_GAP
1,Tulkarem,temperature,2026-08-07T01:00:00Z,2026-08-07T01:30:00Z,1,TIME_GAP
1,Tulkarem,humidity,2026-08-07T01:00:00Z,2026-08-07T01:30:00Z,1,TIME_GAP
1,Tulkarem,no2,2026-08-07T01:00:00Z,2026-08-07T01:30:00Z,1,TIME_GAP
1,Tulkarem,o3,2026-08-07T01:00:00Z,2026-08-07T01:30:00Z,1,TIME_GAP
1,Tulkarem,aqi,2026-08-07T01:00:00Z,2026-08-07T01:30:00Z,1,TIME_GAP
1,Tulkarem,pm25,2026-08-08T17:45:00Z,2026-08-08T18:15:00Z,1,TIME_GAP
1,Tulkarem,temperature,2026-08-08T17:45:00Z,2026-08-08T18:15:00Z,1,TIME_GAP
1,Tulkarem,humidity,2026-08-08T17:45:00Z,2026-08-08T18:15:00Z,1,TIME_GAP
1,Tulkarem,no2,2026-08-08T17:45:00Z,2026-08-08T18:15:00Z,1,TIME_GAP
1,Tulkarem,o3,2026-08-08T17:45:00Z,2026-08-08T18:15:00Z,1,TIME_GAP
1,Tulkarem,aqi,2026-08-08T17:45:00Z,2026-08-08T18:15:00Z,1,TIME_GAP
1,Tulkarem,pm25,2026-08-08T23:45:00Z,2026-08-09T00:15:00Z,1,TIME_GAP
1,Tulkarem,temperature,2026-08-08T23:45:00Z,2026-08-09T00:15:00Z,1,TIME_GAP
1,Tulkarem,humidity,2026-08-08T23:45:00Z,2026-08-09T00:15:00Z,1,TIME_GAP
1,Tulkarem,no2,2026-08-08T23:45:00Z,2026-08-09T00:15:00Z,1,TIME_GAP
1,Tulkarem,o3,2026-08-08T23:45:00Z,2026-08-09T00:15:00Z,1,TIME_GAP
1,Tulkarem,aqi,2026-08-08T23:45:00Z,2026-08-09T00:15:00Z,1,TIME_GAP
1,Tulkarem,pm25,2026-08-10T15:45:00Z,2026-08-10T16:15:00Z,1,TIME_GAP
1,Tulkarem,temperature,2026-08-10T15:45:00Z,2026-08-10T16:15:00Z,1,TIME_GAP
1,Tulkarem,humidity,2026-08-10T15:45:00Z,2026-08-10T16:15:00Z,1,TIME_GAP
1,Tulkarem,no2,2026-08-10T15:45:00Z,2026-08-10T16:15:00Z,1,TIME_GAP
1,Tulkarem,o3,2026-08-10T15:45:00Z,2026-08-10T16:15:00Z,1,TIME_GAP
1,Tulkarem,aqi,2026-08-10T15:45:00Z,2026-08-10T16:15:00Z,1,TIME_GAP
1,Tulkarem,pm25,2026-08-13T09:00:00Z,2026-08-13T09:30:00Z,1,TIME_GAP
1,Tulkarem,temperature,2026-08-13T09:00:00Z,2026-08-13T09:30:00Z,1,TIME_GAP
1,Tulkarem,humidity,2026-08-13T09:00:00Z,2026-08-13T09:30:00Z,1,TIME_GAP
1,Tulkarem,no2,2026-08-13T09:00:00Z,2026-08-13T09:30:00Z,1,TIME_GAP
1,Tulkarem,o3,2026-08-13T09:00:00Z,2026-08-13T09:30:00Z,1,TIME_GAP
1,Tulkarem,aqi,2026-08-13T09:00:00Z,2026-08-13T09:30:00Z,1,TIME_GAP
1,Tulkarem,pm25,2026-08-19T15:45:00Z,2026-08-19T16:15:00Z,1,TIME_GAP
1,Tulkarem,temperature,2026-08-19T15:45:00Z,2026-08-19T16:15:00Z,1,TIME_GAP
1,Tulkarem,humidity,2026-08-19T15:45:00Z,2026-08-19T16:15:00Z,1,TIME_GAP
1,Tulkarem,no2,2026-08-19T15:45:00Z,2026-08-19T16:15:00Z,1,TIME_GAP
1,Tulkarem,o3,2026-08-19T15:45:00Z,2026-08-19T16:15:00Z,1,TIME_GAP
1,Tulkarem,aqi,2026-08-19T15:45:00Z,2026-08-19T16:15:00Z,1,TIME_GAP
1,Tulkarem,pm25,2026-08-21T15:00:00Z,2026-08-21T15:30:00Z,1,TIME_GAP
1,Tulkarem,temperature,2026-08-21T15:00:00Z,2026-08-21T15:30:00Z,1,TIME_GAP
1,Tulkarem,humidity,2026-08-21T15:00:00Z,2026-08-21T15:30:00Z,1,TIME_GAP
1,Tulkarem,no2,2026-08-21T15:00:00Z,2026-08-21T15:30:00Z,1,TIME_GAP
1,Tulkarem,o3,2026-08-21T15:00:00Z,2026-08-21T15:30:00Z,1,TIME_GAP
1,Tulkarem,aqi,2026-08-21T15:00:00Z,2026-08-21T15:30:00Z,1,TIME_GAP
2,Nablus,pm25,2026-08-07T01:00:00Z,2026-08-07T01:30:00Z,1,TIME_GAP
2,Nablus,temperature,2026-08-07T01:00:00Z,2026-08-07T01:30:00Z,1,TIME_GAP
2,Nablus,humidity,2026-08-07T01:00:00Z,2026-08-07T01:30:00Z,1,TIME_GAP
2,Nablus,aqi,2026-08-07T01:00:00Z,2026-08-07T01:30:00Z,1,TIME_GAP
2,Nablus,pm25,2026-08-08T17:45:00Z,2026-08-08T18:15:00Z,1,TIME_GAP
2,Nablus,temperature,2026-08-08T17:45:00Z,2026-08-08T18:15:00Z,1,TIME_GAP
2,Nablus,humidity,2026-08-08T17:45:00Z,2026-08-08T18:15:00Z,1,TIME_GAP
2,Nablus,aqi,2026-08-08T17:45:00Z,2026-08-08T18:15:00Z,1,TIME_GAP
2,Nablus,pm25,2026-08-08T23:45:00Z,2026-08-09T00:15:00Z,1,TIME_GAP
2,Nablus,temperature,2026-08-08T23:45:00Z,2026-08-09T00:15:00Z,1,TIME_GAP
2,Nablus,humidity,2026-08-08T23:45:00Z,2026-08-09T00:15:00Z,1,TIME_GAP
2,Nablus,aqi,2026-08-08T23:45:00Z,2026-08-09T00:15:00Z,1,TIME_GAP
2,Nablus,pm25,2026-08-10T15:45:00Z,2026-08-10T16:15:00Z,1,TIME_GAP
2,Nablus,temperature,2026-08-10T15:45:00Z,2026-08-10T16:15:00Z,1,TIME_GAP
2,Nablus,humidity,2026-08-10T15:45:00Z,2026-08-10T16:15:00Z,1,TIME_GAP
2,Nablus,aqi,2026-08-10T15:45:00Z,2026-08-10T16:15:00Z,1,TIME_GAP
2,Nablus,pm25,2026-08-19T15:45:00Z,2026-08-19T16:15:00Z,1,TIME_GAP
2,Nablus,temperature,2026-08-19T15:45:00Z,2026-08-19T16:15:00Z,1,TIME_GAP
2,Nablus,humidity,2026-08-19T15:45:00Z,2026-08-19T16:15:00Z,1,TIME_GAP
2,Nablus,aqi,2026-08-19T15:45:00Z,2026-08-19T16:15:00Z,1,TIME_GAP
2,Nablus,pm25,2026-08-21T15:00:00Z,2026-08-21T15:30:00Z,1,TIME_GAP
2,Nablus,temperature,2026-08-21T15:00:00Z,2026-08-21T15:30:00Z,1,TIME_GAP
2,Nablus,humidity,2026-08-21T15:00:00Z,2026-08-21T15:30:00Z,1,TIME_GAP
2,Nablus,aqi,2026-08-21T15:00:00Z,2026-08-21T15:30:00Z,1,TIME_GAP
4,Nablus,pm25,2026-08-07T01:00:00Z,2026-08-07T01:30:00Z,1,TIME_GAP
4,Nablus,temperature,2026-08-07T01:00:00Z,2026-08-07T01:30:00Z,1,TIME_GAP
4,Nablus,humidity,2026-08-07T01:00:00Z,2026-08-07T01:30:00Z,1,TIME_GAP
4,Nablus,aqi,2026-08-07T01:00:00Z,2026-08-07T01:30:00Z,1,TIME_GAP
4,Nablus,pm25,2026-08-08T17:45:00Z,2026-08-08T18:15:00Z,1,TIME_GAP
4,Nablus,temperature,2026-08-08T17:45:00Z,2026-08-08T18:15:00Z,1,TIME_GAP
4,Nablus,humidity,2026-08-08T17:45:00Z,2026-08-08T18:15:00Z,1,TIME_GAP
4,Nablus,aqi,2026-08-08T17:45:00Z,2026-08-08T18:15:00Z,1,TIME_GAP
4,Nablus,pm25,2026-08-08T23:45:00Z,2026-08-09T00:15:00Z,1,TIME_GAP
4,Nablus,temperature,2026-08-08T23:45:00Z,2026-08-09T00:15:00Z,1,TIME_GAP
4,Nablus,humidity,2026-08-08T23:45:00Z,2026-08-09T00:15:00Z,1,TIME_GAP
