horizon,model_a,model_b,both_large_error_count,overlap
1h,gru,lightgbm,166,1020
1h,gru,lstm,155,1020
1h,gru,persistence,177,1020
1h,gru,prophet,102,1020
1h,gru,random_forest,161,1020
1h,gru,tft,144,1020
1h,gru,xgboost,170,1020
1h,lightgbm,lstm,156,1020
1h,lightgbm,persistence,164,1136
1h,lightgbm,prophet,127,1136
1h,lightgbm,random_forest,199,1136
1h,lightgbm,tft,167,1136
1h,lightgbm,xgboost,242,1136
1h,lstm,persistence,134,1020
1h,lstm,prophet,110,1020
1h,lstm,random_forest,148,1020
1h,lstm,tft,134,1020
1h,lstm,xgboost,151,1020
1h,persistence,prophet,103,1136
1h,persistence,random_forest,166,1136
1h,persistence,tft,143,1136
1h,persistence,xgboost,178,1136
1h,prophet,random_forest,128,1136
1h,prophet,tft,109,1136
1h,prophet,xgboost,134,1136
1h,random_forest,tft,147,1136
1h,random_forest,xgboost,199,1136
1h,tft,xgboost,165,1136
3h,gru,lightgbm,133,956
3h,gru,lstm,170,956
3h,gru,persistence,127,956
3h,gru,prophet,117,956
3h,gru,random_forest,108,956
3h,gru,tft,112,956
3h,gru,xgboost,137,956
3h,lightgbm,lstm,120,956
3h,lightgbm,persistence,124,1104
3h,lightgbm,prophet,129,1104
3h,lightgbm,random_forest,169,1104
3h,lightgbm,tft,164,1104
3h,lightgbm,xgboost,228,1104
3h,lstm,persistence,105,956
3h,lstm,prophet,134,956
3h,lstm,random_forest,114,956
3h,lstm,tft,99,956
3h,lstm,xgboost,130,956
3h,persistence,prophet,110,1104
3h,persistence,random_forest,107,1104
3h,persistence,tft,112,1104
3h,persistence,xgboost,131,1104
3h,prophet,random_forest,115,1104
3h,prophet,tft,123,1104
3h,prophet,xgboost,128,1104
3h,random_forest,tft,117,1104
3h,random_forest,xgboost,172,1104
3h,tft,xgboost,147,1104
6h,gru,lightgbm,89,908
6h,gru,lstm,131,908
6h,gru,persistence,132,908
6h,gru,prophet,112,908
6h,gru,random_forest,107,908
6h,gru,tft,102,908
6h,gru,xgboost,97,908
6h,lightgbm,lstm,122,908
6h,lightgbm,persistence,92,1056
6h,lightgbm,prophet,112,1056
6h,lightgbm,random_forest,167,1056
6h,lightgbm,tft,124,1056
6h,lightgbm,xgboost,209,1056
6h,lstm,persistence,75,908
6h,lstm,prophet,104,908
6h,lstm,random_forest,145,908
6h,lstm,tft,103,908
6h,lstm,xgboost,135,908
6h,persistence,prophet,123,1056
6h,persistence,random_forest,106,1056
6h,persistence,tft,112,1056
6h,persistence,xgboost,81,1056
6h,prophet,random_forest,130,1056
6h,prophet,tft,115,1056
6h,prophet,xgboost,110,1056
6h,random_forest,tft,105,1056
6h,random_forest,xgboost,182,1056
6h,tft,xgboost,113,1056
