horizon,model_a,model_b,correlation,overlap
1h,gru,lightgbm,0.8531257346346087,1020
1h,gru,lstm,0.8565003512039954,1020
1h,gru,persistence,0.772901409757495,1020
1h,gru,prophet,0.3587522092563745,1020
1h,gru,random_forest,0.8143110074711414,1020
1h,gru,tft,0.784469986699861,1020
1h,gru,xgboost,0.788539936572749,1020
1h,lightgbm,lstm,0.8601447587554589,1020
1h,lightgbm,persistence,0.7463390451085874,1136
1h,lightgbm,prophet,0.47935647791748126,1136
1h,lightgbm,random_forest,0.9353921100094001,1136
1h,lightgbm,tft,0.7577937104684758,1136
1h,lightgbm,xgboost,0.9641692720599317,1136
1h,lstm,persistence,0.6849374987894943,1020
1h,lstm,prophet,0.5765196551228456,1020
1h,lstm,random_forest,0.8362593506879983,1020
1h,lstm,tft,0.7288280811860258,1020
1h,lstm,xgboost,0.8156691670799741,1020
1h,persistence,prophet,0.2990081162646739,1136
1h,persistence,random_forest,0.7419479211058012,1136
1h,persistence,tft,0.5500776993391511,1136
1h,persistence,xgboost,0.7177100704887743,1136
1h,prophet,random_forest,0.47232895100059374,1136
1h,prophet,tft,0.43856197874348407,1136
1h,prophet,xgboost,0.47446517633772417,1136
1h,random_forest,tft,0.7021972735894861,1136
1h,random_forest,xgboost,0.8979547419615385,1136
1h,tft,xgboost,0.7466284630921672,1136
3h,gru,lightgbm,0.7072625798795108,956
3h,gru,lstm,0.9040720604254301,956
3h,gru,persistence,0.7345319719074288,956
3h,gru,prophet,0.590920446950364,956
3h,gru,random_forest,0.6832240189696626,956
3h,gru,tft,0.5868734496447566,956
3h,gru,xgboost,0.7067060263439807,956
3h,lightgbm,lstm,0.6835742065830883,956
3h,lightgbm,persistence,0.6513673881586477,1104
3h,lightgbm,prophet,0.4655799863753588,1104
3h,lightgbm,random_forest,0.8877433956612782,1104
3h,lightgbm,tft,0.6906579995115557,1104
3h,lightgbm,xgboost,0.965646291969524,1104
3h,lstm,persistence,0.5562283063644988,956
3h,lstm,prophet,0.6653762890948759,956
3h,lstm,random_forest,0.7039126043476726,956
3h,lstm,tft,0.5543228154303701,956
3h,lstm,xgboost,0.7032717890996756,956
3h,persistence,prophet,0.3493958385539909,1104
3h,persistence,random_forest,0.6142921866081565,1104
3h,persistence,tft,0.4589724030881075,1104
3h,persistence,xgboost,0.6439133797869614,1104
3h,prophet,random_forest,0.572393741163146,1104
3h,prophet,tft,0.24840970241042595,1104
3h,prophet,xgboost,0.532263235971742,1104
3h,random_forest,tft,0.6038065607226897,1104
3h,random_forest,xgboost,0.8908728476647139,1104
3h,tft,xgboost,0.6646016385320532,1104
6h,gru,lightgbm,0.5351304966877091,908
6h,gru,lstm,0.7374027862731279,908
6h,gru,persistence,0.7976681034069132,908
6h,gru,prophet,0.5495033526529483,908
6h,gru,random_forest,0.6075563222079132,908
6h,gru,tft,0.20453112982912192,908
6h,gru,xgboost,0.5760153082602502,908
6h,lightgbm,lstm,0.6794852598935499,908
6h,lightgbm,persistence,0.5096225159001031,1056
6h,lightgbm,prophet,0.5904642545180004,1056
6h,lightgbm,random_forest,0.8362514122198503,1056
6h,lightgbm,tft,0.4978575785410521,1056
6h,lightgbm,xgboost,0.9534044270885255,1056
6h,lstm,persistence,0.38782156299051346,908
6h,lstm,prophet,0.4956679016127817,908
6h,lstm,random_forest,0.7183404053445792,908
6h,lstm,tft,0.36386522341822664,908
6h,lstm,xgboost,0.7356445031833801,908
6h,persistence,prophet,0.4373783564767606,1056
6h,persistence,random_forest,0.5592325295454436,1056
6h,persistence,tft,0.18361308925594794,1056
6h,persistence,xgboost,0.5093856002782738,1056
6h,prophet,random_forest,0.5614656638015575,1056
6h,prophet,tft,0.22019117639220404,1056
6h,prophet,xgboost,0.6031871965963792,1056
6h,random_forest,tft,0.48288812795569114,1056
6h,random_forest,xgboost,0.8929901866273625,1056
6h,tft,xgboost,0.5076104968468337,1056
