scope_type,scope_value,source_feature,target_feature,mutual_information,pearson,spearman,n_observations
global,All sensors,aqi,pm25,4.755904063763618,0.799731247103574,0.9554305811466236,5635
global,All sensors,pm25,aqi,4.750536203912831,0.799731247103574,0.9554305811466236,5635
sensor,4,pm25,aqi,4.653023400769944,0.8519216146247541,0.9617450850687664,1597
sensor,4,aqi,pm25,4.647569414217603,0.8519216146247541,0.9617450850687664,1597
sensor,2,pm25,aqi,4.640064639840686,0.7858697065426276,0.9262877693267016,1582
sensor,2,aqi,pm25,4.638034231276329,0.7858697065426276,0.9262877693267016,1582
sensor,1,pm25,aqi,4.562493403773162,0.8671106656914116,0.9945948936306795,1627
sensor,1,aqi,pm25,4.561942642568771,0.8671106656914116,0.9945948936306795,1627
sensor,5,aqi,pm25,4.354332474270807,0.7345603270629711,0.8925719999415984,829
sensor,5,pm25,aqi,4.351795633410423,0.7345603270629711,0.8925719999415984,829
sensor,5,temperature,humidity,1.362396031853896,-0.9565764037865233,-0.871073395812091,829
sensor,5,humidity,temperature,1.361300556427374,-0.9565764037865233,-0.871073395812091,829
sensor,4,temperature,humidity,1.3315891149939998,-0.7849990273601547,-0.8528549242299134,1597
sensor,4,humidity,temperature,1.3305128559936592,-0.7849990273601547,-0.8528549242299134,1597
sensor,1,temperature,humidity,1.0741155163066107,-0.9013228513312944,-0.8232816867326644,1627
sensor,1,humidity,temperature,1.0740324813069009,-0.9013228513312944,-0.8232816867326644,1627
sensor,2,temperature,humidity,1.064033690398114,-0.7761041168650554,-0.8359332842824405,1582
sensor,2,humidity,temperature,1.0630373832932545,-0.7761041168650554,-0.8359332842824405,1582
global,All sensors,temperature,humidity,0.881209296281674,-0.716320255380078,-0.6997803184434565,5635
global,All sensors,humidity,temperature,0.8807781163430555,-0.716320255380078,-0.6997803184434563,5635
sensor,4,pm25,humidity,0.7687339847660071,0.7341912594255933,0.7836079232456575,1597
sensor,4,humidity,pm25,0.7686170883891275,0.7341912594255934,0.7836079232456575,1597
sensor,2,humidity,pm25,0.7380940685368267,0.7383005147859452,0.7757037038844499,1582
sensor,2,pm25,humidity,0.7377475926476458,0.7383005147859452,0.7757037038844499,1582
sensor,4,aqi,humidity,0.6989351694551904,0.7276547195170705,0.7601354458148044,1597
sensor,4,humidity,aqi,0.6953930673017465,0.7276547195170705,0.7601354458148044,1597
sensor,4,temperature,pm25,0.6514341491241677,-0.5132379081206621,-0.5436226964146554,1597
sensor,4,pm25,temperature,0.6512050018492381,-0.5132379081206621,-0.5436226964146554,1597
sensor,2,aqi,humidity,0.6366848615619833,0.6898177502940276,0.706414352819921,1582
sensor,2,humidity,aqi,0.6317605682533602,0.6898177502940276,0.706414352819921,1582
sensor,5,pm25,humidity,0.603959782221569,0.6290065382543151,0.7212312007552927,829
sensor,5,humidity,pm25,0.6032961105555636,0.6290065382543151,0.7212312007552927,829
sensor,4,temperature,aqi,0.6011966720927293,-0.5023751036314734,-0.523471456155612,1597
sensor,4,aqi,temperature,0.5972464818930687,-0.5023751036314734,-0.5234714561556119,1597
sensor,1,temperature,no2,0.5222224422072781,-0.5585927235987469,-0.6375955117737544,1628
global,All sensors,temperature,no2,0.5222224422072781,-0.5585927235987469,-0.6375955117737544,1628
global,All sensors,no2,temperature,0.5195024508945432,-0.5585927235987469,-0.6375955117737545,1628
sensor,1,no2,temperature,0.5195024508945432,-0.5585927235987469,-0.6375955117737545,1628
sensor,5,pm25,temperature,0.4955121078206264,-0.4792644950757487,-0.48349303724864345,829
