feature,sensor_a,sensor_b,sensor_pair,overlap_count,pearson,spearman,mae,median_absolute_difference,mean_difference_a_minus_b,difference_std
pm25,2,4,2 ↔ 4,1580,0.9621206845166883,0.9729251448732602,2.351120253164557,1.9299999999999997,1.902613924050633,2.2854635083641983
temperature,2,4,2 ↔ 4,1580,0.9040506403198765,0.9298333834061372,3.081930379746836,1.879999999999999,-2.8815126582278485,3.5114622122572707
humidity,2,4,2 ↔ 4,1580,0.946165983344961,0.9461841937829372,5.922822784810127,5.009999999999998,5.24173417721519,5.208211865403516
aqi,2,4,2 ↔ 4,1580,0.8742141035344559,0.9294120745075157,14.110759493670885,10.0,8.213291139240507,18.442988869302983
pm25,2,5,2 ↔ 5,819,0.8153892574165285,0.8926545850151086,2.502527472527472,1.4700000000000024,-0.39175824175824164,4.8213439558388185
temperature,2,5,2 ↔ 5,819,0.8816529682513413,0.8738593421897979,2.9864224664224666,1.3300000000000018,-2.39013431013431,3.850212785093337
humidity,2,5,2 ↔ 5,819,0.9212933685589829,0.9292656539497819,7.570085470085471,5.770000000000003,7.118217338217338,6.3765504080765005
aqi,2,5,2 ↔ 5,819,0.7727801861985474,0.830585782550404,13.69108669108669,8.0,1.1562881562881564,22.5742457470111
pm25,4,5,4 ↔ 5,829,0.8105757568474518,0.8933468892339673,2.9437876960193003,2.120000000000001,-1.9368636911942096,4.892971376949663
temperature,4,5,4 ↔ 5,829,0.7968695942883203,0.8741655067542713,2.776031363088058,1.5500000000000043,-0.1402291917973462,3.8615729906218825
humidity,4,5,4 ↔ 5,829,0.8878545118011535,0.8830503422418275,5.799975874547647,4.850000000000001,3.1392279855247285,6.677179600894191
aqi,4,5,4 ↔ 5,829,0.7475316504916971,0.8213837217633828,16.612786489746682,12.0,-5.913148371531967,24.83281651740085
