group,component,feature,loading,absolute_loading
Tulkarem,PC1,pm25,0.36690389749292757,0.36690389749292757
Tulkarem,PC1,temperature,-0.4704068948952159,0.4704068948952159
Tulkarem,PC1,humidity,0.4976501178395741,0.4976501178395741
Tulkarem,PC1,no2,0.4092730022616302,0.4092730022616302
Tulkarem,PC1,o3,-0.3112720696490343,0.3112720696490343
Tulkarem,PC1,aqi,0.36338485346799576,0.36338485346799576
Tulkarem,PC2,pm25,0.5487641278910576,0.5487641278910576
Tulkarem,PC2,temperature,0.16481256710304065,0.16481256710304065
Tulkarem,PC2,humidity,-0.03210398493823346,0.03210398493823346
Tulkarem,PC2,no2,-0.3628330298388311,0.3628330298388311
Tulkarem,PC2,o3,0.4985515494996641,0.4985515494996641
Tulkarem,PC2,aqi,0.5389458495669264,0.5389458495669264
Tulkarem,PC3,pm25,0.21290906606762433,0.21290906606762433
Tulkarem,PC3,temperature,0.5341078146537623,0.5341078146537623
Tulkarem,PC3,humidity,-0.4631627069153885,0.4631627069153885
Tulkarem,PC3,no2,0.35017539371778394,0.35017539371778394
Tulkarem,PC3,o3,-0.4985862175224987,0.4985862175224987
Tulkarem,PC3,aqi,0.28925396482331495,0.28925396482331495
Tulkarem,PC4,pm25,-0.06467541015267597,0.06467541015267597
Tulkarem,PC4,temperature,0.028974279973007395,0.028974279973007395
Tulkarem,PC4,humidity,-0.12766147164511688,0.12766147164511688
Tulkarem,PC4,no2,0.7568724948099648,0.7568724948099648
Tulkarem,PC4,o3,0.6363496919410038,0.6363496919410038
Tulkarem,PC4,aqi,-0.02971913938457637,0.02971913938457637
Tulkarem,PC5,pm25,0.7129674962102577,0.7129674962102577
Tulkarem,PC5,temperature,0.034828320956963976,0.034828320956963976
Tulkarem,PC5,humidity,-0.023725857920268295,0.023725857920268295
Tulkarem,PC5,no2,0.03965414807148365,0.03965414807148365
Tulkarem,PC5,o3,-0.013677367539734435,0.013677367539734435
Tulkarem,PC5,aqi,-0.6986715245598958,0.6986715245598958
Tulkarem,PC6,pm25,-0.08002269802960371,0.08002269802960371
Tulkarem,PC6,temperature,0.6813446209115424,0.6813446209115424
Tulkarem,PC6,humidity,0.7210642368135474,0.7210642368135474
Tulkarem,PC6,no2,0.06161631969847338,0.06161631969847338
Tulkarem,PC6,o3,0.02897989006656717,0.02897989006656717
Tulkarem,PC6,aqi,-0.069251980924812,0.069251980924812
Nablus,PC1,pm25,0.5052479946934515,0.5052479946934515
Nablus,PC1,temperature,-0.4568552063695889,0.4568552063695889
Nablus,PC1,humidity,0.5371529995316215,0.5371529995316215
Nablus,PC1,aqi,0.4974680284856784,0.4974680284856784
Nablus,PC2,pm25,0.4438176819074384,0.4438176819074384
Nablus,PC2,temperature,0.7034600242129754,0.7034600242129754
Nablus,PC2,humidity,-0.26892088473616094,0.26892088473616094
Nablus,PC2,aqi,0.4856453616717745,0.4856453616717745
Nablus,PC3,pm25,-0.694845677458027,0.694845677458027
Nablus,PC3,temperature,-0.08036533238698751,0.08036533238698751
Nablus,PC3,humidity,-0.07315615734932562,0.07315615734932562
Nablus,PC3,aqi,0.710900186038874,0.710900186038874
Nablus,PC4,pm25,-0.2548329131067053,0.2548329131067053
Nablus,PC4,temperature,0.5384874446982115,0.5384874446982115
Nablus,PC4,humidity,0.7961133019167455,0.7961133019167455
Nablus,PC4,aqi,-0.10627826123510922,0.10627826123510922
