group,component,explained_variance_ratio,cumulative_explained_variance
Tulkarem,PC1,0.5324863639126298,0.5324863639126298
Tulkarem,PC2,0.2589308080845893,0.7914171719972192
Tulkarem,PC3,0.12410016907761212,0.9155173410748313
Tulkarem,PC4,0.04902030114317783,0.9645376422180091
Tulkarem,PC5,0.02181941322738968,0.9863570554453988
Tulkarem,PC6,0.013642944554601091,0.9999999999999999
Nablus,PC1,0.7483423039746941,0.7483423039746941
Nablus,PC2,0.1689638108947652,0.9173061148694593
Nablus,PC3,0.04861525610295919,0.9659213709724186
Nablus,PC4,0.034078629027581346,0.9999999999999999
