sensor_id,city,location,gap_start,gap_end,duration_seconds,duration_hours,missing_expected_readings,severity
1,Tulkarem,Tulkarem Munaplicity,2026-08-07T01:00:00Z,2026-08-07T01:30:00Z,1800.0,0.5,1,MINOR
1,Tulkarem,Tulkarem Munaplicity,2026-08-08T17:45:00Z,2026-08-08T18:15:00Z,1800.0,0.5,1,MINOR
1,Tulkarem,Tulkarem Munaplicity,2026-08-08T23:45:00Z,2026-08-09T00:15:00Z,1800.0,0.5,1,MINOR
1,Tulkarem,Tulkarem Munaplicity,2026-08-10T15:45:00Z,2026-08-10T16:15:00Z,1800.0,0.5,1,MINOR
1,Tulkarem,Tulkarem Munaplicity,2026-08-13T09:00:00Z,2026-08-13T09:30:00Z,1800.0,0.5,1,MINOR
1,Tulkarem,Tulkarem Munaplicity,2026-08-19T15:45:00Z,2026-08-19T16:15:00Z,1800.0,0.5,1,MINOR
1,Tulkarem,Tulkarem Munaplicity,2026-08-21T15:00:00Z,2026-08-21T15:30:00Z,1800.0,0.5,1,MINOR
2,Nablus,ANNU New Campus,2026-08-07T01:00:00Z,2026-08-07T01:30:00Z,1800.0,0.5,1,MINOR
2,Nablus,ANNU New Campus,2026-08-08T17:45:00Z,2026-08-08T18:15:00Z,1800.0,0.5,1,MINOR
2,Nablus,ANNU New Campus,2026-08-08T23:45:00Z,2026-08-09T00:15:00Z,1800.0,0.5,1,MINOR
2,Nablus,ANNU New Campus,2026-08-10T15:45:00Z,2026-08-10T16:15:00Z,1800.0,0.5,1,MINOR
2,Nablus,ANNU New Campus,2026-08-19T15:45:00Z,2026-08-19T16:15:00Z,1800.0,0.5,1,MINOR
2,Nablus,ANNU New Campus,2026-08-21T15:00:00Z,2026-08-21T15:30:00Z,1800.0,0.5,1,MINOR
4,Nablus,ANNU old campus,2026-08-07T01:00:00Z,2026-08-07T01:30:00Z,1800.0,0.5,1,MINOR
4,Nablus,ANNU old campus,2026-08-08T17:45:00Z,2026-08-08T18:15:00Z,1800.0,0.5,1,MINOR
4,Nablus,ANNU old campus,2026-08-08T23:45:00Z,2026-08-09T00:15:00Z,1800.0,0.5,1,MINOR
4,Nablus,ANNU old campus,2026-08-10T15:45:00Z,2026-08-10T16:15:00Z,1800.0,0.5,1,MINOR
4,Nablus,ANNU old campus,2026-08-13T09:00:00Z,2026-08-13T09:45:00Z,2700.0,0.75,2,MODERATE
4,Nablus,ANNU old campus,2026-08-19T15:45:00Z,2026-08-19T16:15:00Z,1800.0,0.5,1,MINOR
4,Nablus,ANNU old campus,2026-08-21T15:00:00Z,2026-08-21T15:30:00Z,1800.0,0.5,1,MINOR
5,Nablus,ANNU HIJJAWI,2026-08-07T01:00:00Z,2026-08-07T01:30:00Z,1800.0,0.5,1,MINOR
5,Nablus,ANNU HIJJAWI,2026-08-08T17:45:00Z,2026-08-08T18:15:00Z,1800.0,0.5,1,MINOR
5,Nablus,ANNU HIJJAWI,2026-08-08T23:45:00Z,2026-08-09T00:15:00Z,1800.0,0.5,1,MINOR
5,Nablus,ANNU HIJJAWI,2026-08-09T11:00:00Z,2026-08-17T10:15:00Z,688500.0,191.25,764,CRITICAL
5,Nablus,ANNU HIJJAWI,2026-08-19T15:45:00Z,2026-08-19T16:15:00Z,1800.0,0.5,1,MINOR
5,Nablus,ANNU HIJJAWI,2026-08-21T15:00:00Z,2026-08-21T15:30:00Z,1800.0,0.5,1,MINOR
