sensor_id,site,start_timestamp,end_timestamp,event_type,channel,severity,duration_minutes,evidence,message,alert_recommended
1,Tulkarem Municipality,2026-08-06T07:00:00+00:00,2026-08-06T07:00:00+00:00,jump,pm25,warning,0.0,"{""first"":{""absolute_change"":3.4800000000000004,""threshold"":2.7521599999999484,""reference_differences"":27,""method"":""max(median+8*MAD, Q3+3*IQR, resolution)""},""last"":{""absolute_change"":3.4800000000000004,""threshold"":2.7521599999999484,""reference_differences"":27,""method"":""max(median+8*MAD, Q3+3*IQR, resolution)""},""evaluations"":1}","pm25 changed by 3.48, above its causal robust threshold 2.75.",True
1,Tulkarem Municipality,2026-08-06T16:15:00+00:00,2026-08-06T16:15:00+00:00,jump,temperature,warning,0.0,"{""first"":{""absolute_change"":1.9899999999999984,""threshold"":1.9148159999999952,""reference_differences"":64,""method"":""max(median+8*MAD, Q3+3*IQR, resolution)""},""last"":{""absolute_change"":1.9899999999999984,""threshold"":1.9148159999999952,""reference_differences"":64,""method"":""max(median+8*MAD, Q3+3*IQR, resolution)""},""evaluations"":1}","temperature changed by 1.99, above its causal robust threshold 1.91.",True
5,Hisham Hijjawi College of Technology,2026-08-06T21:30:00+00:00,2026-08-06T21:45:00+00:00,jump,pm25,warning,15.0,"{""first"":{""absolute_change"":14.749999999999996,""threshold"":5.29710400000001,""reference_differences"":48,""method"":""max(median+8*MAD, Q3+3*IQR, resolution)""},""last"":{""absolute_change"":12.409999999999997,""threshold"":5.6929280000000455,""reference_differences"":49,""method"":""max(median+8*MAD, Q3+3*IQR, resolution)""},""evaluations"":2}","pm25 changed by 12.41, above its causal robust threshold 5.69.",True
1,Tulkarem Municipality,2026-08-07T01:00:00+00:00,2026-08-07T01:00:00+00:00,jump,pm25,warning,0.0,"{""first"":{""absolute_change"":9.580000000000002,""threshold"":3.216591999999982,""reference_differences"":99,""method"":""max(median+8*MAD, Q3+3*IQR, resolution)""},""last"":{""absolute_change"":9.580000000000002,""threshold"":3.216591999999982,""reference_differences"":99,""method"":""max(median+8*MAD, Q3+3*IQR, resolution)""},""evaluations"":1}","pm25 changed by 9.58, above its causal robust threshold 3.22.",True
1,Tulkarem Municipality,2026-08-07T01:30:00+00:00,2026-08-07T01:30:00+00:00,sampling_gap,,warning,0.0,"{""first"":{""gap_minutes"":30.0,""missed_intervals"":1},""last"":{""gap_minutes"":30.0,""missed_intervals"":1},""evaluations"":1}",Sensor missed 1 expected reporting interval(s).,True
2,ANNU New Campus,2026-08-07T01:30:00+00:00,2026-08-07T01:30:00+00:00,sampling_gap,,warning,0.0,"{""first"":{""gap_minutes"":30.0,""missed_intervals"":1},""last"":{""gap_minutes"":30.0,""missed_intervals"":1},""evaluations"":1}",Sensor missed 1 expected reporting interval(s).,True
4,ANNU Old Campus,2026-08-07T01:30:00+00:00,2026-08-07T01:30:00+00:00,sampling_gap,,warning,0.0,"{""first"":{""gap_minutes"":30.0,""missed_intervals"":1},""last"":{""gap_minutes"":30.0,""missed_intervals"":1},""evaluations"":1}",Sensor missed 1 expected reporting interval(s).,True
5,Hisham Hijjawi College of Technology,2026-08-07T01:30:00+00:00,2026-08-07T01:30:00+00:00,sampling_gap,,warning,0.0,"{""first"":{""gap_minutes"":30.0,""missed_intervals"":1},""last"":{""gap_minutes"":30.0,""missed_intervals"":1},""evaluations"":1}",Sensor missed 1 expected reporting interval(s).,True
1,Tulkarem Municipality,2026-08-07T14:30:00+00:00,2026-08-07T14:30:00+00:00,jump,pm25,warning,0.0,"{""first"":{""absolute_change"":4.949999999999999,""threshold"":4.286848000000026,""reference_differences"":51,""method"":""max(median+8*MAD, Q3+3*IQR, resolution)""},""last"":{""absolute_change"":4.949999999999999,""threshold"":4.286848000000026,""reference_differences"":51,""method"":""max(median+8*MAD, Q3+3*IQR, resolution)""},""evaluations"":1}","pm25 changed by 4.95, above its causal robust threshold 4.29.",True
1,Tulkarem Municipality,2026-08-07T15:30:00+00:00,2026-08-07T15:30:00+00:00,jump,no2,warning,0.0,"{""first"":{""absolute_change"":0.16000000000000014,""threshold"":0.1286080000000201,""reference_differences"":55,""method"":""max(median+8*MAD, Q3+3*IQR, resolution)""},""last"":{""absolute_change"":0.16000000000000014,""threshold"":0.1286080000000201,""reference_differences"":55,""method"":""max(median+8*MAD, Q3+3*IQR, resolution)""},""evaluations"":1}","no2 changed by 0.16, above its causal robust threshold 0.13.",True
1,Tulkarem Municipality,2026-08-07T16:00:00+00:00,2026-08-07T16:00:00+00:00,abnormal_noise,no2,warning,0.0,"{""first"":{""recent_difference_mad"":0.06671699999999989,""reference_difference_mad"":0.014825999999999683,""variability_ratio"":4.500000000000089,""sign_changes"":5,""window_samples"":8},""last"":{""recent_difference_mad"":0.06671699999999989,""reference_difference_mad"":0.014825999999999683,""variability_ratio"":4.500000000000089,""sign_changes"":5,""window_samples"":8},""evaluations"":1}",no2 is rapidly oscillating above its historical variability.,True
