sensor_id,city,feature,lag_minutes,lag,autocorrelation,absolute_autocorrelation,pacf,n_observations
4,Nablus,humidity,15,15 min,0.9958952384050136,0.9958952384050136,0.9952526881459676,1589
5,Nablus,humidity,15,15 min,0.9955070663941495,0.9955070663941495,0.9926696883342743,822
5,Nablus,temperature,15,15 min,0.9953180266341509,0.9953180266341509,0.9928238658810473,822
4,Nablus,temperature,15,15 min,0.9945288829818083,0.9945288829818083,0.9939067111801949,1589
2,Nablus,humidity,15,15 min,0.9944938887146593,0.9944938887146593,0.9935423973759899,1575
1,Tulkarem,humidity,15,15 min,0.9916069317294125,0.9916069317294125,0.9906537712694501,1618
2,Nablus,temperature,15,15 min,0.9913626115227914,0.9913626115227914,0.9902975436554123,1575
1,Tulkarem,temperature,15,15 min,0.9884646110766472,0.9884646110766472,0.9873478241278422,1620
2,Nablus,pm25,15,15 min,0.988108012522296,0.988108012522296,0.987404551098026,1575
4,Nablus,pm25,15,15 min,0.9748695549852854,0.9748695549852854,0.9748429913797619,1589
1,Tulkarem,o3,15,15 min,0.9487093832586041,0.9487093832586041,0.9484524065865394,1620
2,Nablus,aqi,15,15 min,0.9362639115956368,0.9362639115956368,0.9351442423899715,1575
4,Nablus,aqi,15,15 min,0.9263090783024313,0.9263090783024313,0.9264098103673439,1589
1,Tulkarem,pm25,15,15 min,0.9186948768796032,0.9186948768796032,0.9195947052320311,1618
5,Nablus,pm25,15,15 min,0.8981964676539793,0.8981964676539793,0.8817764212092967,822
5,Nablus,aqi,15,15 min,0.8701402414172532,0.8701402414172532,0.8419597414937904,822
1,Tulkarem,no2,15,15 min,0.8561351542820419,0.8561351542820419,0.8557437126955673,1620
1,Tulkarem,aqi,15,15 min,0.7893730388140044,0.7893730388140044,0.7920268404111567,1620
