sensor_id,city,feature,pattern_type,period,mean,median,std,min,max,count
1,Tulkarem,pm25,hour,0,19.896142857142856,19.725,5.863454561910232,11.59,48.39,70
1,Tulkarem,pm25,hour,1,19.706119402985074,19.46,5.266969963042083,11.32,32.95,67
1,Tulkarem,pm25,hour,2,19.961029411764706,19.939999999999998,5.379171866493139,11.62,34.08,68
1,Tulkarem,pm25,hour,3,21.190000000000005,20.21,5.923505668350885,13.42,36.03,68
1,Tulkarem,pm25,hour,4,21.56161764705882,20.725,6.5088462444363975,12.38,40.6,68
1,Tulkarem,pm25,hour,5,20.605882352941173,20.35,5.556979539092517,9.89,35.05,68
1,Tulkarem,pm25,hour,6,18.93735294117647,18.075000000000003,5.083834966157492,11.27,33.11,68
1,Tulkarem,pm25,hour,7,18.55205882352941,18.305,5.594457960972195,8.78,34.7,68
1,Tulkarem,pm25,hour,8,17.936176470588236,17.07,4.116035271526841,8.92,26.23,68
1,Tulkarem,pm25,hour,9,16.25955223880597,15.88,4.1557650474738725,8.15,25.38,67
1,Tulkarem,pm25,hour,10,14.530294117647056,14.325,4.437775754085257,6.75,24.8,68
1,Tulkarem,pm25,hour,11,13.62985294117647,13.74,4.346160251679039,5.85,24.2,68
1,Tulkarem,pm25,hour,12,13.393088235294115,14.105,4.3309659938470455,5.4,20.37,68
1,Tulkarem,pm25,hour,13,13.636764705882353,14.5,4.464517971733316,5.4,21.21,68
1,Tulkarem,pm25,hour,14,13.802058823529412,15.16,4.330618706899495,5.4,21.39,68
1,Tulkarem,pm25,hour,15,13.235074626865671,15.16,4.502687875081622,5.02,20.05,67
1,Tulkarem,pm25,hour,16,16.376666666666665,17.515,5.356495218483913,6.42,34.64,66
1,Tulkarem,pm25,hour,17,18.82102941176471,18.625,7.617422124315913,7.63,50.41,68
1,Tulkarem,pm25,hour,18,19.12641791044776,19.29,7.956766646010695,7.66,59.44,67
1,Tulkarem,pm25,hour,19,18.57073529411765,18.345,5.498994566492844,7.69,31.85,68
1,Tulkarem,pm25,hour,20,19.16,18.405,5.922781214381706,7.65,36.65,68
1,Tulkarem,pm25,hour,21,18.7034328358209,17.66,5.443059676610931,8.52,35.0,67
1,Tulkarem,pm25,hour,22,19.281323529411765,18.520000000000003,4.620053596772449,9.51,30.31,68
1,Tulkarem,pm25,hour,23,19.86764705882353,20.75,4.30692019257556,11.98,27.74,68
1,Tulkarem,pm25,day_of_week,Monday,13.424188481675392,13.21,6.180139348290432,5.4,59.44,191
1,Tulkarem,pm25,day_of_week,Tuesday,15.21645833333333,15.39,4.676914671706374,5.02,40.6,192
1,Tulkarem,pm25,day_of_week,Wednesday,15.280575916230365,14.43,6.811898041642484,5.37,50.41,191
1,Tulkarem,pm25,day_of_week,Thursday,18.136968641114986,17.54,4.224607840747362,9.89,48.39,287
1,Tulkarem,pm25,day_of_week,Friday,19.688566433566436,19.48,5.180999331984828,9.86,36.65,286
1,Tulkarem,pm25,day_of_week,Saturday,21.20055944055944,20.465,5.282281176042242,13.48,38.42,286
1,Tulkarem,pm25,day_of_week,Sunday,18.734948453608247,17.58,5.5206445564420035,8.65,29.7,194
1,Tulkarem,pm25,day_type,Weekday,16.774551002615514,16.17,5.833890248441488,5.02,59.44,1147
1,Tulkarem,pm25,day_type,Weekend,20.20404166666667,19.755,5.508975549571438,8.65,38.42,480
1,Tulkarem,pm25,daily,2026-08-06 00:00:00+00:00,17.325416666666666,16.88,2.0904715744321356,14.06,24.0,96
1,Tulkarem,pm25,daily,2026-08-07 00:00:00+00:00,15.960315789473682,14.53,4.062861231764854,9.86,29.14,95
1,Tulkarem,pm25,daily,2026-08-08 00:00:00+00:00,17.722526315789473,16.67,3.498833838678695,13.48,24.77,95
1,Tulkarem,pm25,daily,2026-08-09 00:00:00+00:00,17.627368421052637,15.87,5.847971499647915,8.65,29.7,95
1,Tulkarem,pm25,daily,2026-08-10 00:00:00+00:00,14.908947368421057,14.84,7.829521122510543,5.67,59.44,95
