horizon,method,n,rmse,mae,median_ae,r2,rank_rmse
1h,weighted,1020,3.150308534833078,2.089610972267116,1.3966358096318832,0.8156265698984894,1
1h,lightgbm,1020,3.239131744279672,2.1837216709886778,1.5081479071094943,0.8050831517089292,2
1h,stacking_advanced,1020,3.272166162605653,2.092217533404548,1.3171974816673337,0.8010871433712905,3
1h,stacking_original,1020,3.272166162605655,2.0922175334045505,1.3171974816673302,0.8010871433712903,4
1h,tft,1020,3.3897352802672733,2.1750901519551,1.3753599166870139,0.786536452370475,5
1h,gru,1020,3.436689124259126,2.346360632204542,1.7272888565063464,0.780581797517813,6
1h,xgboost,1020,3.4882260985358036,2.2903454813725492,1.5054455000000004,0.7739516142292487,7
1h,lstm,1020,3.5479148691284363,2.391763977125579,1.6878335952758796,0.7661493739366043,8
1h,random_forest,1020,3.6079936225874225,2.4325678524736287,1.7029229056437334,0.7581624812861314,9
1h,persistence,1020,3.839622019795954,2.4716470588235295,1.625,0.7261144605272638,10
1h,prophet,1020,13.670289083788896,12.091679101364228,12.036884848096275,-2.471742876719411,11
3h,tft,956,3.0481449974518013,2.230740307564516,1.798825187683109,0.828400852615724,1
3h,weighted,956,3.0481449974518013,2.230740307564516,1.798825187683109,0.828400852615724,2
3h,stacking_original,956,3.0820137149580282,2.249482993076859,1.7471831386359007,0.8245663030860138,3
3h,stacking_advanced,956,3.083667582282338,2.251007308238749,1.7528133432959407,0.8243779704345934,4
3h,xgboost,956,4.024877349006028,3.048036444037656,2.4334954999999994,0.7008085472839223,5
3h,lightgbm,956,4.041620638877991,3.078301229319393,2.4286758321950748,0.6983141265526884,6
3h,random_forest,956,4.557323573310416,3.565920825140962,2.933963697561518,0.6164132376512497,7
3h,lstm,956,4.992133473585078,3.4449523697936884,2.2901195144653315,0.5397261958767617,8
3h,gru,956,5.13220469909106,3.782804630630684,2.869002380371093,0.5135347512779026,9
3h,persistence,956,6.050826061382413,4.3875732217573225,2.9650000000000007,0.32380303230315877,10
3h,prophet,956,13.893130290534206,12.378837869970985,12.468064464135761,-2.5648732951280593,11
6h,lightgbm,908,3.9752575728681028,2.90068627682299,2.0665722383298597,0.6806144656400854,1
6h,xgboost,908,3.991415801061979,2.8983310044052866,2.119178500000002,0.6780127762612824,2
6h,stacking_advanced,908,4.018221258285765,2.4279220302931983,1.573920395295719,0.6736734655164074,3
6h,stacking_original,908,4.081986589050257,2.4384568788870746,1.5410707888600346,0.6632343074259618,4
6h,random_forest,908,4.176391407534667,3.0588552879211615,2.2314079158702587,0.6474773045702056,5
6h,weighted,908,4.187582617290594,2.505666242019653,1.5700073348231145,0.6455855081203443,6
6h,tft,908,4.328175052761809,2.5612026522968305,1.589426155090333,0.6213880390397253,7
6h,lstm,908,4.702713882945253,3.2018091138343983,2.073128433227538,0.553026466255069,8
6h,gru,908,5.455412047146242,3.893626533289838,2.673966751098633,0.3984942104745336,9
6h,persistence,908,8.961172670960343,6.9447577092511015,5.59,-0.6229845532161282,10
6h,prophet,908,13.770030896921206,12.645722781646516,12.48421880888101,-2.8322561020418453,11
