horizon,sensor_id,method,n,rmse,mae,median_ae,r2
1h,1,gru,255,2.6644968741397106,1.9467264730416092,1.4370191955566405,0.5994322075956456
1h,1,lightgbm,255,2.8163528654782057,1.995449191418865,1.4252437074604813,0.5524724956866934
1h,1,lstm,255,2.8327439175161047,2.0841999950034946,1.6221999359130859,0.5472481555885496
1h,1,random_forest,255,2.861332894588876,1.9821319032139888,1.2927752919551558,0.5380634014674994
1h,1,tft,255,2.8613363521960378,2.046108127220004,1.3071014404296868,0.5380622850673354
1h,1,xgboost,255,3.825971428770627,2.4124580078431372,1.4755109999999991,0.17409700341044387
1h,1,prophet,255,7.976493330697915,7.030631765895888,7.275802663055044,-2.589794680124965
1h,1,persistence,255,2.9288819388573355,1.909529411764706,1.1400000000000006,0.515995578917147
1h,1,weighted,255,2.506404177685618,1.81170762676811,1.3248896263028342,0.6455558536849214
1h,1,stacking_original,255,2.5078366675927897,1.7320299025603716,1.1570703694947575,0.6451505856432338
1h,1,stacking_advanced,255,2.507836667592794,1.7320299025603716,1.1570703694947433,0.6451505856432325
1h,2,gru,255,2.7955289791795517,2.1557210850435142,1.7257878875732402,0.8486191070412037
1h,2,lightgbm,255,2.7678306378479007,2.0445977798911064,1.4508997489297109,0.8516040357433972
1h,2,lstm,255,2.82652612534007,2.0806704716401945,1.6418539428710943,0.845243437892323
1h,2,random_forest,255,3.407175748245833,2.5676009274149707,1.92251781045751,0.7751296804100664
1h,2,tft,255,2.5942662328085855,1.9247064437866215,1.3997392272949227,0.8696316553231954
1h,2,xgboost,255,2.7693484128148302,2.0344187666666667,1.4263879999999993,0.8514412415095429
1h,2,prophet,255,14.629894823270119,13.457605399397927,13.72143929127048,-3.145963489850609
1h,2,persistence,255,3.1734209289277815,2.3946274509803924,1.8999999999999986,0.8049264314804021
1h,2,weighted,255,2.606290517847773,1.9434894907875495,1.505436188725298,0.8684203540654436
1h,2,stacking_original,255,2.7185480951849144,1.979856637751471,1.4413728886054464,0.8568415106630571
1h,2,stacking_advanced,255,2.7185480951849135,1.9798566377514681,1.4413728886054606,0.8568415106630571
1h,4,gru,255,3.556654623729484,2.229040661082548,1.5299124145507825,0.7774383455324947
1h,4,lightgbm,255,3.372837087219725,2.1736077737992807,1.5821172950456592,0.7998490378875361
1h,4,lstm,255,3.7215572013238902,2.39377493241254,1.755383987426761,0.7563219840429903
1h,4,random_forest,255,3.9861680456177306,2.470388524147692,1.5295078294696882,0.7204379866506373
1h,4,tft,255,2.731971255348698,1.6350360147812786,1.0529767608642544,0.8686835287252411
1h,4,xgboost,255,3.431651573537618,2.143545511764706,1.3494329999999977,0.7928078366649561
1h,4,prophet,255,13.923336773536365,12.623578856761448,12.591852436866748,-2.4107792203982346
1h,4,persistence,255,3.935190405737919,2.4687450980392156,1.5,0.7275426964584227
1h,4,weighted,255,3.2120742041420365,1.9257228225171712,1.2874387946347188,0.8184743117648575
1h,4,stacking_original,255,3.328419055292856,1.9525442257313679,1.256624186140872,0.8050860367913314
1h,4,stacking_advanced,255,3.328419055292857,1.9525442257313699,1.2566241861408827,0.8050860367913312
1h,5,gru,255,4.436103083673165,3.053954309650496,1.998694381713868,0.7008024772501087
1h,5,lightgbm,255,3.8728720489553274,2.521231938845458,1.6172535735420404,0.7719547489645157
1h,5,lstm,255,4.526270388758327,3.0084105094460876,1.7704708862304699,0.6885160146885587
1h,5,random_forest,255,4.047822096082195,2.710150055117864,1.8927389550264415,0.7508863253620295
1h,5,tft,255,4.855933600659474,3.094510022032495,1.7363516998291004,0.6414908753270111
1h,5,xgboost,255,3.819333021684922,2.570959639215686,1.7855080000000019,0.7782162155116606
1h,5,prophet,255,16.612935900481503,15.254900383401646,16.268179573499694,-3.1961162668151566
1h,5,persistence,255,4.983584622164503,3.113686274509804,1.7899999999999991,0.6223944155109898
1h,5,weighted,255,4.038012209034381,2.677523948995635,1.5342572346065921,0.7520923150070751
1h,5,stacking_original,255,4.250901513563052,2.7044393675749907,1.5117748885623001,0.725263209286026
1h,5,stacking_advanced,255,4.250901513563043,2.7044393675749814,1.5117748885622646,0.7252632092860272
3h,1,gru,239,3.605694363182387,2.8571858333444,2.2676738739013675,0.23616621793329629
3h,1,lightgbm,239,3.1246037741850046,2.418541707451757,1.9047772239337313,0.42639761807725274
3h,1,lstm,239,3.033717133432585,2.2885562759463256,1.7350436401367197,0.4592815248259766
3h,1,random_forest,239,3.6743243915547867,2.917197472372915,2.347668386243374,0.2068121890885718
3h,1,tft,239,2.614776883573852,2.011530693245732,1.6143817901611328,0.5983106533707687
3h,1,xgboost,239,3.4104746005211046,2.6047852970711296,2.007209999999999,0.3166382298972299
3h,1,prophet,239,8.446113980059302,7.527525702675045,7.737879024730576,-3.191166517210964
3h,1,persistence,239,3.8644419127567606,2.92928870292887,2.380000000000001,0.12260610643275738
3h,1,weighted,239,2.614776883573852,2.011530693245732,1.6143817901611328,0.5983106533707687
3h,1,stacking_original,239,2.739153308370995,2.178852268383594,1.911767700009051,0.5591876836772018
3h,1,stacking_advanced,239,2.7422379862666086,2.1868594464633246,1.9329048027950968,0.5581942893692815
3h,2,gru,239,4.988576780529561,3.9344398453844134,3.3928830718994103,0.5212655957625006
3h,2,lightgbm,239,3.9672788246578334,3.1209207155474696,2.6338472962408837,0.6972202920525483
3h,2,lstm,239,4.6445412674239055,3.462477366555185,2.635933227539063,0.5850201883168906
3h,2,random_forest,239,4.53722083568292,3.6530533312004536,3.0103722432660014,0.6039763220761165
3h,2,tft,239,3.0060185022025707,2.2300985875788095,1.75488178253174,0.8261700456978327
3h,2,xgboost,239,3.830314725568083,2.9905384979079503,2.562262999999998,0.717765410824807
3h,2,prophet,239,15.782849739906412,14.54589327300474,14.57417033742986,-3.791948709754469
3h,2,persistence,239,5.987092392289227,4.633723849372385,3.370000000000001,0.31043813172828005
3h,2,weighted,239,3.0060185022025707,2.2300985875788095,1.75488178253174,0.8261700456978327
3h,2,stacking_original,239,2.985010988687114,2.198767622193131,1.6702823514715774,0.8285911718916489
3h,2,stacking_advanced,239,2.996281542803153,2.2129930244988025,1.708134716189738,0.8272943461301898
3h,4,gru,239,5.158590037584834,3.7851246668604124,2.659877319335937,0.5355421120569162
3h,4,lightgbm,239,4.044006216927554,3.085142437960543,2.4240641401795973,0.7145645289228395
3h,4,lstm,239,5.232843878447634,3.7445099767581187,2.4020287322998044,0.5220748684586942
3h,4,random_forest,239,4.745086133262748,3.822980296924421,3.280098654406906,0.6070181315701666
3h,4,tft,239,3.0618263941157187,2.018761180095593,1.524614868164063,0.8363765905763546
3h,4,xgboost,239,3.9942599409507142,2.9527991694560662,2.2719440000000013,0.7215437550518639
3h,4,prophet,239,14.536533830644435,13.236172776832904,13.036044111861512,-2.6881284606822646
3h,4,persistence,239,6.2942004919319166,4.707112970711297,3.4400000000000013,0.3085425536561551
3h,4,weighted,239,3.0618263941157187,2.018761180095593,1.524614868164063,0.8363765905763546
3h,4,stacking_original,239,3.059645881846688,2.0013250060071988,1.4427395192948218,0.8366095598975943
3h,4,stacking_advanced,239,3.061819064557221,1.9996127614626902,1.4084514362665672,0.8363773739557897
3h,5,gru,239,6.392192032604781,4.554468176933512,3.1303923797607425,0.38805911927511616
3h,5,lightgbm,239,4.845859392681534,3.6886000563178016,2.9430259359410478,0.6483169337328066
3h,5,lstm,239,6.444201128585413,4.284265859915123,2.564363555908198,0.3780606813254449
3h,5,random_forest,239,5.145281095255264,3.8704522000660586,3.0503703823953856,0.6035138216668606
3h,5,tft,239,3.45206683709944,2.66257076933793,2.227515869140623,0.821528763859293
3h,5,xgboost,239,4.747819533699682,3.644022811715481,2.9493849999999995,0.6624032585289663
3h,5,prophet,239,15.502589267375592,14.20575972737125,14.684873415709735,-2.599302282941939
3h,5,persistence,239,7.486911089154443,5.280167364016736,3.200000000000001,0.160510648558284
3h,5,weighted,239,3.45206683709944,2.66257076933793,2.227515869140623,0.821528763859293
3h,5,stacking_original,239,3.4957902947850803,2.618987075723513,2.1627700086865413,0.8169791428704677
3h,5,stacking_advanced,239,3.48765175883768,2.604564000530181,2.139710606710045,0.817830331199513
6h,1,gru,227,3.988713001252529,3.1416116124627878,2.6653758239746104,-0.25349985187855806
6h,1,lightgbm,227,4.204116851470627,2.943097620543263,1.9902478844382152,-0.39254188412908486
6h,1,lstm,227,3.3259355443329013,2.47487967050023,1.7850054931640642,0.12846192212707164
