horizon,percentile,threshold,method,n,rmse,mae,median_ae,r2
1h,90,33.295,gru,102,7.1632220419776775,5.328417484059052,3.9048109436035183,-4.630650408550485
1h,90,33.295,lightgbm,102,6.701151627855047,4.807972792536205,3.0188713694959333,-3.9276587787661263
1h,90,33.295,lstm,102,8.153562456998925,6.544731136396821,4.898734130859374,-6.295188898058708
1h,90,33.295,random_forest,102,7.61556761677933,5.50201583612396,3.734294959674031,-5.364236267985949
1h,90,33.295,tft,102,7.723865776880698,5.62358959571988,4.022592697143555,-5.546530166826106
1h,90,33.295,xgboost,102,6.823294159036362,5.066315774509802,3.482023499999997,-4.108929695163644
1h,90,33.295,prophet,102,23.571139356286768,23.38935866829086,22.7556891637676,-59.968131901965
1h,90,33.295,persistence,102,6.059268544479411,4.293725490196079,2.980000000000002,-3.0288596509043764
1h,90,33.295,weighted,102,7.002632454368786,5.188398548076419,4.796872750587282,-4.381017465591618
1h,90,33.295,stacking_original,102,7.701133077629666,6.002416284669569,5.844554266733432,-5.508051688945845
1h,90,33.295,stacking_advanced,102,7.701133077629653,6.002416284669555,5.8445542667334855,-5.508051688945824
1h,95,36.0025,gru,51,8.825969681064464,7.1426501001096225,6.651664581298835,-6.8647999181112125
1h,95,36.0025,lightgbm,51,8.367914815717583,6.422635688121528,5.6112861256100715,-6.069640290696123
1h,95,36.0025,lstm,51,10.188472881078894,8.77274657305549,8.621503906249998,-9.480475902619398
1h,95,36.0025,random_forest,51,9.377126040033309,7.395469280346924,7.3401415858456645,-7.877737982408609
1h,95,36.0025,tft,51,9.382905790205934,7.741964247460458,6.729134674072263,-7.888685242934185
1h,95,36.0025,xgboost,51,8.332732870644064,6.543133784313725,5.483150000000002,-6.010318264448991
1h,95,36.0025,prophet,51,25.143920562066327,24.95061379144333,24.36128551081638,-62.83058254186883
1h,95,36.0025,persistence,51,7.4557478813723455,5.590980392156862,4.190000000000005,-4.612356420119822
1h,95,36.0025,weighted,51,8.780995293425029,7.186832402105235,6.73970222029466,-6.784851002931104
1h,95,36.0025,stacking_original,51,9.605912123331546,8.249389547344126,7.939849756455473,-8.316226414337166
1h,95,36.0025,stacking_advanced,51,9.605912123331535,8.249389547344114,7.939849756455498,-8.316226414337146
3h,90,33.099999999999994,gru,96,11.705287811373383,10.92268888235092,11.245771026611326,-10.73713499599701
3h,90,33.099999999999994,lightgbm,96,7.857519813885734,6.610189022393751,6.431721358507998,-4.288942871714477
3h,90,33.099999999999994,lstm,96,12.065213329122024,11.022313375473024,12.238234939575197,-11.470042017231645
3h,90,33.099999999999994,random_forest,96,8.073999124686022,6.856505140086017,6.64511346981647,-4.584384363221424
3h,90,33.099999999999994,tft,96,5.738652335854282,4.473321852684021,3.577752151489257,-1.8210951599424852
3h,90,33.099999999999994,xgboost,96,7.73608735729344,6.381289791666667,6.358526499999998,-4.126732254524459
3h,90,33.099999999999994,prophet,96,24.512037608282515,24.23872647135992,23.73564553989224,-50.47030418952376
3h,90,33.099999999999994,persistence,96,9.010238273763909,7.032708333333333,5.520000000000001,-5.954572810111295
3h,90,33.099999999999994,weighted,96,5.738652335854282,4.473321852684021,3.577752151489257,-1.8210951599424852
3h,90,33.099999999999994,stacking_original,96,6.046987397621161,4.739666788677847,3.983905668351735,-2.1323914753365476
3h,90,33.099999999999994,stacking_advanced,96,6.019676470253441,4.713160422967169,3.894685090861124,-2.1041607804198392
3h,95,36.4725,gru,48,13.685136235091715,13.274344868659972,13.745376014709473,-18.40185642268729
3h,95,36.4725,lightgbm,48,9.332955167879046,8.072454547460913,8.368231580889981,-8.023673964477334
3h,95,36.4725,lstm,48,14.114817754227388,13.669134683609007,13.887882766723632,-19.639329582407303
3h,95,36.4725,random_forest,48,9.523996228287483,8.155061104103924,8.679578208237814,-8.39687534178858
3h,95,36.4725,tft,48,6.768912993073623,5.3816681655248,4.933008499145512,-3.7466028930926196
3h,95,36.4725,xgboost,48,9.197237751520387,7.8421240208333325,8.32162,-7.763142272260074
3h,95,36.4725,prophet,48,26.506408401814483,26.240738879224892,26.011819271579093,-71.78582457329185
3h,95,36.4725,persistence,48,10.29763949488749,8.906666666666666,7.899999999999999,-9.985514549011754
3h,95,36.4725,weighted,48,6.768912993073623,5.3816681655248,4.933008499145512,-3.7466028930926196
3h,95,36.4725,stacking_original,48,7.2198439276127475,5.74990175043041,5.761678264387424,-4.400085735323548
3h,95,36.4725,stacking_advanced,48,7.177671241966121,5.677801290607765,5.649042218117433,-4.337183824354772
6h,90,33.22700000000001,gru,91,12.231559945832599,11.026048662793505,10.43565353393555,-14.852991780840986
6h,90,33.22700000000001,lightgbm,91,5.923600657861971,4.2788476568591465,2.7343726625471163,-2.718083027296455
6h,90,33.22700000000001,lstm,91,10.532420191482728,8.546621688172058,9.210666809082028,-10.754492744154575
6h,90,33.22700000000001,random_forest,91,7.9190092300688,6.562962861510676,6.825392504409173,-5.6449120417365
6h,90,33.22700000000001,tft,91,10.449118760387345,7.113004285372221,4.062885818481448,-10.569294297210453
6h,90,33.22700000000001,xgboost,91,6.968522643989585,5.320089087912088,4.150137000000001,-4.145516432440496
6h,90,33.22700000000001,prophet,91,22.28438589632241,22.042356859242002,22.338052371933394,-51.61976197576611
6h,90,33.22700000000001,persistence,91,13.986227487805973,11.458791208791208,11.319999999999997,-19.727585435261645
6h,90,33.22700000000001,weighted,91,10.06368763668009,7.021406174129894,4.156806760590641,-9.731534721559552
6h,90,33.22700000000001,stacking_original,91,9.893428928453655,6.9915167324234195,4.4151655819906495,-9.371491477404224
6h,90,33.22700000000001,stacking_advanced,91,9.698857457967824,6.846098717288355,4.339417490548463,-8.967556166394083
6h,95,35.791999999999994,gru,46,14.478833135209012,13.455865808569865,12.303516883850099,-18.931396089623554
6h,95,35.791999999999994,lightgbm,46,7.440926220191864,5.593994742009361,5.114970112383423,-4.264105571989318
6h,95,35.791999999999994,lstm,46,12.243234760854893,10.260384090257729,11.408369255065917,-13.251577797380376
6h,95,35.791999999999994,random_forest,46,9.215890122989272,7.728304987817789,7.916999171216055,-7.075049071877499
6h,95,35.791999999999994,tft,46,11.191612275371117,8.33292311295219,5.676917266845702,-10.9084683212836
6h,95,35.791999999999994,xgboost,46,8.530871985732647,6.786056695652173,6.359569500000001,-5.919224848573192
6h,95,35.791999999999994,prophet,46,23.444159562725424,23.17430141007959,22.762197453814608,-51.25645336527772
6h,95,35.791999999999994,persistence,46,16.46850577947786,14.38695652173913,16.24,-24.785703637813217
6h,95,35.791999999999994,weighted,46,10.847731101971949,8.226202527010825,5.755166110703158,-10.187895885204814
6h,95,35.791999999999994,stacking_original,46,10.736580913737479,8.320376307898675,6.510862042317566,-9.959799182810803
6h,95,35.791999999999994,stacking_advanced,46,10.65804143662666,8.346833640384839,6.527854358928067,-9.800040958694861
