horizon,method,overall_rmse,overall_mae,overall_median_ae,overall_r2,p90_mae,p90_rmse,p95_mae,p95_rmse,sensor_mean_mae,sensor_worst_mae,sensor_rmse_std,overall_mae_score,overall_rmse_score,overall_median_ae_score,p90_mae_score,p90_rmse_score,p95_mae_score,p95_rmse_score,sensor_mean_mae_score,sensor_worst_mae_score,sensor_rmse_std_score,overall_r2_score,overall_accuracy_score,high_pm_score,sensor_stability_score,final_score,final_score_100,final_rank
1h,lightgbm,3.239131744279672,2.1837216709886778,1.5081479071094943,0.8050831517089292,4.807972792536205,6.701151627855047,6.422635688121528,8.367914815717583,2.1837216709886778,2.521231938845458,0.4517636389528238,0.9905908760561445,0.9915567135287706,0.9821869408206654,0.9730699004560877,0.9633458303642324,0.9570417848927182,0.9484306858140957,0.9905908760561445,1.0,0.992328245098069,0.9967927492298113,0.9895065857621396,0.9613888088403073,0.9943184116969751,0.9792218401803738,97.92218401803738,1
1h,xgboost,3.488226098535804,2.290345481372549,1.5054455000000004,0.7739516142292487,5.066315774509802,6.823294159036362,6.543133784313725,8.332732870644064,2.2903454813725492,2.570959639215686,0.43036281752523986,0.9799306996798518,0.9678784991920668,0.9824390383881707,0.959540996776164,0.9563709884130823,0.9508175918149382,0.9504196954030805,0.9799306996798518,0.996094785992996,1.0,0.9873227039595088,0.9784687347699424,0.9544657133405632,0.9906054549694893,0.9712948702381001,97.12948702381001,2
1h,persistence,3.839622019795954,2.471647058823529,1.625,0.7261144605272638,4.293725490196079,6.059268544479411,5.590980392156862,7.4557478813723455,2.4716470588235295,3.113686274509804,0.8004051681070111,0.9618042907101356,0.9344757833196474,0.9712862411177567,1.0,1.0,1.0,1.0,0.9618042907101354,0.9534733970619733,0.867347418107106,0.9727709006168087,0.958713477702753,1.0,0.9352742597825214,0.9705402430376056,97.05402430376056,3
1h,weighted,3.150308534833078,2.089610972267116,1.3966358096318832,0.8156265698984894,5.188398548076419,7.002632454368786,7.186832402105235,8.780995293425029,2.089610972267116,2.677523948995635,0.6099562019318517,1.0,1.0,0.9925894920953262,0.9531477668461578,0.9461300325917599,0.9175680666552709,0.9250772006822874,1.0,0.9877260813856832,0.9356194605969687,1.0,0.9981473730238314,0.9354561967052379,0.9796089936342313,0.969363226618474,96.9363226618474,4
1h,gru,3.436689124259126,2.346360632204542,1.7272888565063464,0.780581797517813,5.328417484059052,7.1632220419776775,7.142650100109623,8.825969681064464,2.346360632204542,3.053954309650496,0.7069268286563345,0.9743303428227497,0.9727774601774835,0.961744091891774,0.9458152560738388,0.9369597052558241,0.9198502535688536,0.922534575819261,0.9743303428227497,0.9581642656140632,0.9008574827245679,0.9893395698445968,0.9726717128064201,0.9315985091078246,0.9503040007751641,0.9517688889207307,95.17688889207308,5
1h,stacking_advanced,3.272166162605653,2.092217533404548,1.3171974816673335,0.8010871433712905,6.002416284669555,7.701133077629653,8.249389547344114,9.605912123331535,2.0922175334045474,2.7044393675749814,0.6767132558640079,0.9997393977821599,0.9884165538894776,0.9999999999999997,0.9105192910579383,0.9062427680746014,0.862682877286032,0.8784405669950284,0.9997393977821599,0.9856123606855929,0.9116884279739695,0.995577185113113,0.9964535607798184,0.888897317517117,0.9727821923463138,0.948696789788037,94.86967897880369,6
1h,stacking_original,3.272166162605655,2.0922175334045505,1.3171974816673302,0.8010871433712903,6.002416284669569,7.701133077629666,8.249389547344126,9.605912123331546,2.0922175334045505,2.7044393675749907,0.6767132558640127,0.9997393977821596,0.9884165538894772,1.0,0.9105192910579375,0.9062427680746006,0.8626828772860314,0.8784405669950278,0.9997393977821596,0.9856123606855921,0.9116884279739678,0.995577185113113,0.9964535607798183,0.8888973175171162,0.9727821923463131,0.9486967897880365,94.86967897880365,7
1h,random_forest,3.6079936225874234,2.4325678524736287,1.7029229056437334,0.7581624812861314,5.50201583612396,7.61556761677933,7.395469280346924,9.377126040033309,2.432567852473629,2.710150055117864,0.48220951155134967,0.9657114033038016,0.9564937325098216,0.9640171013583486,0.9367242586481002,0.9111289085543856,0.9067911643277001,0.8913749773170137,0.9657114033038016,0.9851638891734164,0.9814140251396588,0.9825197351421886,0.9650844515987417,0.9135554040670198,0.9764454288171311,0.9467450280297309,94.6745028029731,8
1h,tft,3.3897352802672733,2.1750901519551,1.375359916687014,0.786536452370475,5.62358959571988,7.723865776880698,7.741964247460458,9.382905790205934,2.1750901519550996,3.094510022032495,0.925736124688829,0.9914538494854565,0.9772407615850621,0.9945742414837738,0.9303576847585588,0.9049446372526382,0.8888933581054859,0.8910482194162989,0.9914538494854565,0.9549793458434109,0.8224188445112832,0.9911509436342961,0.988642812278542,0.9049738841930007,0.9364290219671972,0.9447324829820566,94.47324829820566,9
1h,lstm,3.5479148691284363,2.391763977125579,1.6878335952758796,0.7661493739366043,6.544731136396821,8.153562456998925,8.77274657305549,10.188472881078894,2.3917639771255796,3.008410509446088,0.7069226498193497,0.9697909471362761,0.9622046511925516,0.9654247273321349,0.8821193502615591,0.8804071857869441,0.8356494611609794,0.8455055223036565,0.9697909471362761,0.9617409097211962,0.9008589807517922,0.984949304674962,0.9686976128916455,0.8605131850448816,0.9497404424448771,0.9216324076635862,92.16324076635863,10
