horizon,subset,sensor_id,method,n,underprediction_rate,mean_underprediction,worst_underprediction
1h,p95_per_sensor,2,gru,16,1.0,4.267795457839966,10.372910385131838
1h,p95_per_sensor,2,lightgbm,16,0.75,5.212168585751126,9.57209740881239
1h,p95_per_sensor,2,lstm,16,1.0,5.796382679939271,11.982429733276362
1h,p95_per_sensor,2,random_forest,16,0.8125,5.497209710897021,12.349100185334322
1h,p95_per_sensor,2,tft,16,1.0,5.023272767066956,9.496453170776363
1h,p95_per_sensor,2,xgboost,16,0.75,4.958514916666666,9.421220000000002
1h,p95_per_sensor,2,prophet,16,1.0,24.217843109982013,29.415479964153576
1h,p95_per_sensor,2,persistence,16,1.0,4.5875,10.600000000000001
1h,p95_per_sensor,2,weighted,16,1.0,4.379380991126635,10.42809128730319
1h,p95_per_sensor,2,stacking_original,16,1.0,5.511544815760946,11.313002996032573
1h,p95_per_sensor,2,stacking_advanced,16,1.0,5.511544815760935,11.313002996032562
1h,p95_per_sensor,4,gru,5,1.0,11.507549758911136,27.69796714782715
1h,p95_per_sensor,4,lightgbm,5,1.0,10.96517959430074,28.398457722978705
1h,p95_per_sensor,4,lstm,5,1.0,13.585615631103519,28.404784774780275
1h,p95_per_sensor,4,random_forest,5,1.0,13.647692511210812,31.216140595374803
1h,p95_per_sensor,4,tft,5,1.0,11.075765701293946,24.526918029785158
1h,p95_per_sensor,4,xgboost,5,1.0,12.031227200000002,28.871456000000002
1h,p95_per_sensor,4,prophet,5,1.0,27.178670397447416,39.030490379596586
1h,p95_per_sensor,4,persistence,5,1.0,11.218,28.09
1h,p95_per_sensor,4,weighted,5,1.0,11.767098426351158,27.7043717097586
1h,p95_per_sensor,4,stacking_original,5,1.0,12.760161949356622,28.506489060609077
1h,p95_per_sensor,4,stacking_advanced,5,1.0,12.760161949356618,28.506489060609105
1h,p95_per_sensor,5,gru,30,1.0,7.94842263285319,23.238671646118163
1h,p95_per_sensor,5,lightgbm,30,0.9333333333333333,7.339857909671579,21.07429169981586
1h,p95_per_sensor,5,lstm,30,1.0,9.557995806376137,22.941880569458007
1h,p95_per_sensor,5,random_forest,30,1.0,7.812101867665336,20.42868218444101
1h,p95_per_sensor,5,tft,30,1.0,8.636299461364747,21.769916687011715
1h,p95_per_sensor,5,xgboost,30,0.9,7.567970000000001,18.378213
1h,p95_per_sensor,5,prophet,30,1.0,24.970082053888685,30.58054719906044
1h,p95_per_sensor,5,persistence,30,0.9333333333333333,5.163214285714284,19.77
1h,p95_per_sensor,5,weighted,30,1.0,7.920762150586167,21.27566027066364
1h,p95_per_sensor,5,stacking_original,30,1.0,8.957778003853075,21.48879651911195
1h,p95_per_sensor,5,stacking_advanced,30,1.0,8.957778003853056,21.488796519111936
3h,p95_per_sensor,2,gru,12,1.0,13.134661286671957,15.543377151489256
3h,p95_per_sensor,2,lightgbm,12,1.0,8.880202521024025,12.01793000229636
3h,p95_per_sensor,2,lstm,12,1.0,11.90483880996704,15.361805191040041
3h,p95_per_sensor,2,random_forest,12,1.0,9.846270917204208,13.146921935626114
3h,p95_per_sensor,2,tft,12,1.0,5.783085435231527,9.4461996459961
3h,p95_per_sensor,2,xgboost,12,1.0,8.771672916666665,12.011175000000001
