horizon,subset,method,n,threshold_p90,threshold_p95,bias_pred_minus_actual,underprediction_rate,mean_underprediction,worst_underprediction
1h,all,gru,1020,33.295,36.0025,-0.1812768472409716,0.4519607843137255,2.796301766848616,27.69796714782715
1h,all,lightgbm,1020,33.295,36.0025,0.02854102136963594,0.41274509803921566,2.6107889104648723,28.398457722978705
1h,all,lstm,1020,33.295,36.0025,-0.5360075187683105,0.4843137254901961,3.022598103048347,28.404784774780275
1h,all,random_forest,1020,33.295,36.0025,-0.17253377401640532,0.45098039215686275,2.88826484676069,31.216140595374803
1h,all,tft,1020,33.295,36.0025,-0.5881333289426914,0.5519607843137255,2.503097646994447,24.526918029785158
1h,all,xgboost,1020,33.295,36.0025,0.023113972549019618,0.4470588235294118,2.535719450657895,28.871456000000002
1h,all,prophet,1020,33.295,36.0025,-11.796154767882719,0.9509803921568627,12.559582755995816,39.030490379596586
1h,all,persistence,1020,33.295,36.0025,-0.029980392156862757,0.5068627450980392,2.4677562862669244,28.09
1h,all,weighted,1020,33.295,36.0025,-0.2578371169905187,0.4549019607843137,2.580169236037487,27.7043717097586
1h,all,stacking_original,1020,33.295,36.0025,-0.7802217789025395,0.542156862745098,2.6490850800662127,28.506489060609077
1h,all,stacking_advanced,1020,33.295,36.0025,-0.7802217789025415,0.542156862745098,2.6490850800662127,28.506489060609105
1h,p90,gru,102,33.295,36.0025,-5.171051079245174,0.9019607843137255,5.820357573136039,27.69796714782715
1h,p90,lightgbm,102,33.295,36.0025,-3.8929040324118183,0.7156862745098039,6.078694768114373,28.398457722978705
1h,p90,lstm,102,33.295,36.0025,-6.4238225503061335,0.9607843137254902,6.7489412043045975,28.404784774780275
1h,p90,random_forest,102,33.295,36.0025,-4.630766234285463,0.7352941176470589,6.890291807878407,31.216140595374803
1h,p90,tft,102,33.295,36.0025,-5.4295835472555725,0.8823529411764706,6.263464781019422,24.526918029785158
1h,p90,xgboost,102,33.295,36.0025,-3.7797419509803922,0.6764705882352942,6.5383904927536225,28.871456000000002
1h,p90,prophet,102,33.295,36.0025,-23.38935866829086,1.0,23.38935866829086,39.030490379596586
1h,p90,persistence,102,33.295,36.0025,-3.5988235294117645,0.7941176470588235,4.969382716049383,28.09
1h,p90,weighted,102,33.295,36.0025,-4.90830365493298,0.8529411764705882,5.918756463833097,27.7043717097586
1h,p90,stacking_original,102,33.295,36.0025,-5.946180614652384,0.9509803921568627,6.282251977994017,28.506489060609077
