horizon,scheme,method,score,rank,overall_weight,high_pm_weight,stability_weight
1h,balanced_40_40_20,lightgbm,0.9792218401803738,1,0.4,0.4,0.2
1h,balanced_40_40_20,xgboost,0.9712948702381001,2,0.4,0.4,0.2
1h,balanced_40_40_20,persistence,0.9705402430376056,3,0.4,0.4,0.2
1h,balanced_40_40_20,weighted,0.9693632266184741,4,0.4,0.4,0.2
1h,balanced_40_40_20,gru,0.9517688889207306,5,0.4,0.4,0.2
1h,balanced_40_40_20,stacking_advanced,0.948696789788037,6,0.4,0.4,0.2
1h,balanced_40_40_20,stacking_original,0.9486967897880365,7,0.4,0.4,0.2
1h,balanced_40_40_20,random_forest,0.9467450280297309,8,0.4,0.4,0.2
1h,balanced_40_40_20,tft,0.9447324829820566,9,0.4,0.4,0.2
1h,balanced_40_40_20,lstm,0.9216324076635865,10,0.4,0.4,0.2
1h,balanced_40_40_20,prophet,0.0,11,0.4,0.4,0.2
1h,accuracy_focused_50_30_20,lightgbm,0.982033617872557,1,0.5,0.3,0.2
1h,accuracy_focused_50_30_20,weighted,0.9756323442503334,2,0.5,0.3,0.2
1h,accuracy_focused_50_30_20,xgboost,0.973695172381038,3,0.5,0.3,0.2
1h,accuracy_focused_50_30_20,persistence,0.9664115908078807,4,0.5,0.3,0.2
1h,accuracy_focused_50_30_20,stacking_advanced,0.959452414114307,5,0.5,0.3,0.2
1h,accuracy_focused_50_30_20,stacking_original,0.9594524141143066,6,0.5,0.3,0.2
1h,accuracy_focused_50_30_20,gru,0.9558762092905901,7,0.5,0.3,0.2
1h,accuracy_focused_50_30_20,tft,0.9530993757906107,8,0.5,0.3,0.2
1h,accuracy_focused_50_30_20,random_forest,0.9518979327829029,9,0.5,0.3,0.2
1h,accuracy_focused_50_30_20,lstm,0.9324508504482627,10,0.5,0.3,0.2
1h,accuracy_focused_50_30_20,prophet,0.0,11,0.5,0.3,0.2
1h,health_focused_35_45_20,lightgbm,0.9778159513342821,1,0.35,0.45,0.2
1h,health_focused_35_45_20,persistence,0.9726045691524678,2,0.35,0.45,0.2
1h,health_focused_35_45_20,xgboost,0.9700947191666311,3,0.35,0.45,0.2
1h,health_focused_35_45_20,weighted,0.9662286678025443,4,0.35,0.45,0.2
1h,health_focused_35_45_20,gru,0.9497152287358008,5,0.35,0.45,0.2
1h,health_focused_35_45_20,random_forest,0.9441685756531446,6,0.35,0.45,0.2
1h,health_focused_35_45_20,stacking_advanced,0.9433189776249018,7,0.35,0.45,0.2
1h,health_focused_35_45_20,stacking_original,0.9433189776249014,8,0.35,0.45,0.2
1h,health_focused_35_45_20,tft,0.9405490365777794,9,0.35,0.45,0.2
1h,health_focused_35_45_20,lstm,0.9162231862712482,10,0.35,0.45,0.2
1h,health_focused_35_45_20,prophet,0.0,11,0.35,0.45,0.2
1h,high_pm_heavy_30_50_20,lightgbm,0.9764100624881904,1,0.3,0.5,0.2
1h,high_pm_heavy_30_50_20,persistence,0.9746688952673301,2,0.3,0.5,0.2
1h,high_pm_heavy_30_50_20,xgboost,0.9688945680951622,3,0.3,0.5,0.2
1h,high_pm_heavy_30_50_20,weighted,0.9630941089866147,4,0.3,0.5,0.2
1h,high_pm_heavy_30_50_20,gru,0.9476615685508711,5,0.3,0.5,0.2
1h,high_pm_heavy_30_50_20,random_forest,0.9415921232765585,6,0.3,0.5,0.2
1h,high_pm_heavy_30_50_20,stacking_advanced,0.9379411654617668,7,0.3,0.5,0.2
1h,high_pm_heavy_30_50_20,stacking_original,0.9379411654617662,8,0.3,0.5,0.2
1h,high_pm_heavy_30_50_20,tft,0.9363655901735025,9,0.3,0.5,0.2
1h,high_pm_heavy_30_50_20,lstm,0.91081396487891,10,0.3,0.5,0.2
1h,high_pm_heavy_30_50_20,prophet,0.0,11,0.3,0.5,0.2
1h,stability_focused_40_35_25,lightgbm,0.9808683203232071,1,0.4,0.35,0.25
1h,stability_focused_40_35_25,xgboost,0.9731018573195465,2,0.4,0.35,0.25
1h,stability_focused_40_35_25,weighted,0.9715708664649237,3,0.4,0.35,0.25
1h,stability_focused_40_35_25,persistence,0.9673039560267316,4,0.4,0.35,0.25
1h,stability_focused_40_35_25,stacking_advanced,0.9528910335294967,5,0.4,0.35,0.25
1h,stability_focused_40_35_25,stacking_original,0.9528910335294963,6,0.4,0.35,0.25
1h,stability_focused_40_35_25,gru,0.9527041635040976,7,0.4,0.35,0.25
1h,stability_focused_40_35_25,random_forest,0.9498895292672365,8,0.4,0.35,0.25
1h,stability_focused_40_35_25,tft,0.9463052398707664,9,0.4,0.35,0.25
1h,stability_focused_40_35_25,lstm,0.9260937705335861,10,0.4,0.35,0.25
1h,stability_focused_40_35_25,prophet,0.0,11,0.4,0.35,0.25
3h,balanced_40_40_20,tft,0.9986522906820497,1,0.4,0.4,0.2
3h,balanced_40_40_20,weighted,0.9986522906820497,2,0.4,0.4,0.2
3h,balanced_40_40_20,stacking_advanced,0.9930872649125341,3,0.4,0.4,0.2
3h,balanced_40_40_20,stacking_original,0.9921536895610181,4,0.4,0.4,0.2
3h,balanced_40_40_20,xgboost,0.9100459652142767,5,0.4,0.4,0.2
3h,balanced_40_40_20,lightgbm,0.9028645831176179,6,0.4,0.4,0.2
3h,balanced_40_40_20,random_forest,0.877715241979629,7,0.4,0.4,0.2
3h,balanced_40_40_20,persistence,0.8058364446842533,8,0.4,0.4,0.2
3h,balanced_40_40_20,lstm,0.7736082214068002,9,0.4,0.4,0.2
3h,balanced_40_40_20,gru,0.7678450343405278,10,0.4,0.4,0.2
3h,balanced_40_40_20,prophet,0.0,11,0.4,0.4,0.2
3h,accuracy_focused_50_30_20,tft,0.9985318666994514,1,0.5,0.3,0.2
3h,accuracy_focused_50_30_20,weighted,0.9985318666994514,2,0.5,0.3,0.2
3h,accuracy_focused_50_30_20,stacking_advanced,0.9944060509714466,3,0.5,0.3,0.2
3h,accuracy_focused_50_30_20,stacking_original,0.9937115006837485,4,0.5,0.3,0.2
3h,accuracy_focused_50_30_20,xgboost,0.9137269961363877,5,0.5,0.3,0.2
3h,accuracy_focused_50_30_20,lightgbm,0.9073428104510713,6,0.5,0.3,0.2
3h,accuracy_focused_50_30_20,random_forest,0.8786396652006441,7,0.5,0.3,0.2
3h,accuracy_focused_50_30_20,persistence,0.8022612795149925,8,0.5,0.3,0.2
3h,accuracy_focused_50_30_20,lstm,0.7983534266435127,9,0.5,0.3,0.2
3h,accuracy_focused_50_30_20,gru,0.7880346655037215,10,0.5,0.3,0.2
3h,accuracy_focused_50_30_20,prophet,0.0,11,0.5,0.3,0.2
3h,health_focused_35_45_20,tft,0.9987125026733489,1,0.35,0.45,0.2
3h,health_focused_35_45_20,weighted,0.9987125026733489,2,0.35,0.45,0.2
3h,health_focused_35_45_20,stacking_advanced,0.9924278718830776,3,0.35,0.45,0.2
3h,health_focused_35_45_20,stacking_original,0.9913747839996527,4,0.35,0.45,0.2
3h,health_focused_35_45_20,xgboost,0.908205449753221,5,0.35,0.45,0.2
3h,health_focused_35_45_20,lightgbm,0.9006254694508911,6,0.35,0.45,0.2
3h,health_focused_35_45_20,random_forest,0.8772530303691213,7,0.35,0.45,0.2
3h,health_focused_35_45_20,persistence,0.8076240272688836,8,0.35,0.45,0.2
3h,health_focused_35_45_20,lstm,0.7612356187884439,9,0.35,0.45,0.2
3h,health_focused_35_45_20,gru,0.7577502187589309,10,0.35,0.45,0.2
3h,health_focused_35_45_20,prophet,0.0,11,0.35,0.45,0.2
3h,high_pm_heavy_30_50_20,tft,0.998772714664648,1,0.3,0.5,0.2
3h,high_pm_heavy_30_50_20,weighted,0.998772714664648,2,0.3,0.5,0.2
3h,high_pm_heavy_30_50_20,stacking_advanced,0.9917684788536213,3,0.3,0.5,0.2
3h,high_pm_heavy_30_50_20,stacking_original,0.9905958784382873,4,0.3,0.5,0.2
3h,high_pm_heavy_30_50_20,xgboost,0.9063649342921656,5,0.3,0.5,0.2
3h,high_pm_heavy_30_50_20,lightgbm,0.8983863557841643,6,0.3,0.5,0.2
3h,high_pm_heavy_30_50_20,random_forest,0.8767908187586138,7,0.3,0.5,0.2
3h,high_pm_heavy_30_50_20,persistence,0.8094116098535139,8,0.3,0.5,0.2
3h,high_pm_heavy_30_50_20,lstm,0.7488630161700875,9,0.3,0.5,0.2
3h,high_pm_heavy_30_50_20,gru,0.747655403177334,10,0.3,0.5,0.2
3h,high_pm_heavy_30_50_20,prophet,0.0,11,0.3,0.5,0.2
3h,stability_focused_40_35_25,tft,0.9984357873351605,1,0.4,0.35,0.25
3h,stability_focused_40_35_25,weighted,0.9984357873351605,2,0.4,0.35,0.25
3h,stability_focused_40_35_25,stacking_advanced,0.9937990792912228,3,0.4,0.35,0.25
3h,stability_focused_40_35_25,stacking_original,0.9929324774168901,4,0.4,0.35,0.25
3h,stability_focused_40_35_25,xgboost,0.91143434928216,5,0.4,0.35,0.25
3h,stability_focused_40_35_25,lightgbm,0.9040243747472969,6,0.4,0.35,0.25
3h,stability_focused_40_35_25,random_forest,0.8784336814991032,7,0.4,0.35,0.25
3h,stability_focused_40_35_25,persistence,0.8009091784367988,8,0.4,0.35,0.25
3h,stability_focused_40_35_25,lstm,0.7823721674127957,9,0.4,0.35,0.25
3h,stability_focused_40_35_25,gru,0.7758791456631906,10,0.4,0.35,0.25
3h,stability_focused_40_35_25,prophet,0.0,11,0.4,0.35,0.25
6h,balanced_40_40_20,lightgbm,0.9845560965807273,1,0.4,0.4,0.2
6h,balanced_40_40_20,xgboost,0.9550109247464764,2,0.4,0.4,0.2
6h,balanced_40_40_20,random_forest,0.9147113515381395,3,0.4,0.4,0.2
6h,balanced_40_40_20,stacking_advanced,0.9021882791346941,4,0.4,0.4,0.2
6h,balanced_40_40_20,stacking_original,0.8965126532980771,5,0.4,0.4,0.2
6h,balanced_40_40_20,weighted,0.8918587331724372,6,0.4,0.4,0.2
6h,balanced_40_40_20,tft,0.8806021111223485,7,0.4,0.4,0.2
6h,balanced_40_40_20,lstm,0.8335504069441214,8,0.4,0.4,0.2
6h,balanced_40_40_20,gru,0.7440537106344325,9,0.4,0.4,0.2
6h,balanced_40_40_20,persistence,0.5248101054779253,10,0.4,0.4,0.2
6h,balanced_40_40_20,prophet,0.0,11,0.4,0.4,0.2
6h,accuracy_focused_50_30_20,lightgbm,0.9816204945084565,1,0.5,0.3,0.2
6h,accuracy_focused_50_30_20,xgboost,0.9583454987893918,2,0.5,0.3,0.2
6h,accuracy_focused_50_30_20,random_forest,0.9223445612136745,3,0.5,0.3,0.2
6h,accuracy_focused_50_30_20,stacking_advanced,0.9196477746637194,4,0.5,0.3,0.2
6h,accuracy_focused_50_30_20,stacking_original,0.9143450790273072,5,0.5,0.3,0.2
6h,accuracy_focused_50_30_20,weighted,0.9092828832709953,6,0.5,0.3,0.2
6h,accuracy_focused_50_30_20,tft,0.8985708665511987,7,0.5,0.3,0.2
6h,accuracy_focused_50_30_20,lstm,0.8539902309090474,8,0.5,0.3,0.2
6h,accuracy_focused_50_30_20,gru,0.772622192298337,9,0.5,0.3,0.2
6h,accuracy_focused_50_30_20,persistence,0.5298874046487191,10,0.5,0.3,0.2
6h,accuracy_focused_50_30_20,prophet,0.0,11,0.5,0.3,0.2
6h,health_focused_35_45_20,lightgbm,0.9860238976168626,1,0.35,0.45,0.2
6h,health_focused_35_45_20,xgboost,0.9533436377250188,2,0.35,0.45,0.2
6h,health_focused_35_45_20,random_forest,0.910894746700372,3,0.35,0.45,0.2
6h,health_focused_35_45_20,stacking_advanced,0.8934585313701814,4,0.35,0.45,0.2
6h,health_focused_35_45_20,stacking_original,0.8875964404334619,5,0.35,0.45,0.2
6h,health_focused_35_45_20,weighted,0.8831466581231582,6,0.35,0.45,0.2
6h,health_focused_35_45_20,tft,0.8716177334079234,7,0.35,0.45,0.2
6h,health_focused_35_45_20,lstm,0.8233304949616582,8,0.35,0.45,0.2
6h,health_focused_35_45_20,gru,0.7297694698024801,9,0.35,0.45,0.2
6h,health_focused_35_45_20,persistence,0.5222714558925284,10,0.35,0.45,0.2
6h,health_focused_35_45_20,prophet,0.0,11,0.35,0.45,0.2
6h,high_pm_heavy_30_50_20,lightgbm,0.987491698652998,1,0.3,0.5,0.2
6h,high_pm_heavy_30_50_20,xgboost,0.951676350703561,2,0.3,0.5,0.2
6h,high_pm_heavy_30_50_20,random_forest,0.9070781418626045,3,0.3,0.5,0.2
6h,high_pm_heavy_30_50_20,stacking_advanced,0.8847287836056689,4,0.3,0.5,0.2
6h,high_pm_heavy_30_50_20,stacking_original,0.8786802275688468,5,0.3,0.5,0.2
6h,high_pm_heavy_30_50_20,weighted,0.8744345830738791,6,0.3,0.5,0.2
6h,high_pm_heavy_30_50_20,tft,0.8626333556934982,7,0.3,0.5,0.2
6h,high_pm_heavy_30_50_20,lstm,0.8131105829791953,8,0.3,0.5,0.2
6h,high_pm_heavy_30_50_20,gru,0.715485228970528,9,0.3,0.5,0.2
6h,high_pm_heavy_30_50_20,persistence,0.5197328063071316,10,0.3,0.5,0.2
6h,high_pm_heavy_30_50_20,prophet,0.0,11,0.3,0.5,0.2
6h,stability_focused_40_35_25,lightgbm,0.9836307227981798,1,0.4,0.35,0.25
6h,stability_focused_40_35_25,xgboost,0.9565096134009193,2,0.4,0.35,0.25
6h,stability_focused_40_35_25,random_forest,0.916148877069248,3,0.4,0.35,0.25
6h,stability_focused_40_35_25,stacking_advanced,0.9044481028309551,4,0.4,0.35,0.25
6h,stability_focused_40_35_25,stacking_original,0.8983217585774118,5,0.4,0.35,0.25
6h,stability_focused_40_35_25,weighted,0.8935046729123453,6,0.4,0.35,0.25
6h,stability_focused_40_35_25,tft,0.8819836376024712,7,0.4,0.35,0.25
6h,stability_focused_40_35_25,lstm,0.8385139161326859,8,0.4,0.35,0.25
6h,stability_focused_40_35_25,gru,0.7547927901304702,9,0.4,0.35,0.25
6h,stability_focused_40_35_25,persistence,0.521607615195016,10,0.4,0.35,0.25
6h,stability_focused_40_35_25,prophet,0.0,11,0.4,0.35,0.25
