horizon,base_models,meta_model,aligned_rows,train_rows,validation_rows,validation_rmse,validation_mae,validation_r2
1h,gru + lightgbm + tft + random_forest,ridge_10.0,1254,940,314,2.17859464082222,1.606843809156797,0.7627934392018245
1h,gru + lightgbm + tft + random_forest,ridge_1.0,1254,940,314,2.178609445269171,1.6067812279376263,0.7627902153585159
1h,gru + lightgbm + tft + random_forest,ridge_0.1,1254,940,314,2.178610961988106,1.606774947090806,0.7627898850738034
1h,gru + lightgbm + tft + random_forest,linear_regression,1254,940,314,2.178611130919788,1.6067742489533914,0.7627898482867809
1h,gru + lightgbm + tft + random_forest,nonnegative_linear,1254,940,314,2.1786111309197898,1.6067742489533938,0.7627898482867805
1h,gru + lightgbm + tft + random_forest + xgboost,nonnegative_linear,1254,940,314,2.1786111309197898,1.6067742489533938,0.7627898482867805
1h,gru + lightgbm + tft + random_forest,elasticnet,1254,940,314,2.1788498665214724,1.6072505052297428,0.7627378577224064
1h,gru + lightgbm + tft + random_forest + xgboost,ridge_10.0,1254,940,314,2.1792982198382855,1.6021549323360027,0.7626402023355143
1h,gru + lightgbm + tft + random_forest + xgboost,ridge_1.0,1254,940,314,2.1793354849072974,1.6019347555359689,0.7626320847637337
1h,gru + lightgbm + tft + random_forest + xgboost,ridge_0.1,1254,940,314,2.1793393160824226,1.601912489725624,0.7626312501984656
1h,gru + lightgbm + tft + random_forest + xgboost,linear_regression,1254,940,314,2.1793397429711243,1.6019100129189872,0.7626311572069369
1h,gru + lightgbm + tft + random_forest + xgboost,elasticnet,1254,940,314,2.1794130948781802,1.6029240248029708,0.7626151782845436
1h,gru + lightgbm + tft + random_forest + xgboost,random_forest_meta,1254,940,314,2.188045168923031,1.6779193721612324,0.7607310183897821
1h,gru + lightgbm + tft + random_forest + xgboost,xgboost_meta,1254,940,314,2.190020590705336,1.6536447761924404,0.7602987873479756
1h,gru + lightgbm + tft + random_forest,xgboost_meta,1254,940,314,2.199545363245754,1.6567408033844775,0.7582092505351896
