horizon,base_models,meta_model,aligned_rows,meta_train_rows,meta_validation_rows,validation_rmse,validation_mae,validation_r2
1h,gru + lightgbm + tft,linear_regression,1254,940,314,2.278918353669263,1.7323164302438903,0.7417720555003668
1h,gru + lightgbm + tft,ridge_0.1,1254,940,314,2.27891812996731,1.732316783995092,0.7417721061964286
1h,gru + lightgbm + tft,ridge_1.0,1254,940,314,2.2789161253855004,1.7323199774877849,0.7417725604810335
1h,gru + lightgbm + tft,ridge_10.0,1254,940,314,2.2788969391148832,1.7323528698755228,0.7417769085135253
1h,gru + lightgbm + tft,elasticnet,1254,940,314,2.2791245535187112,1.732705507425396,0.7417253237057797
1h,gru + lightgbm + tft + random_forest,linear_regression,1254,940,314,2.2081511822076543,1.6232769092706922,0.7575605362991333
1h,gru + lightgbm + tft + random_forest,ridge_0.1,1254,940,314,2.2081508743264537,1.623277559116752,0.757560603905508
1h,gru + lightgbm + tft + random_forest,ridge_1.0,1254,940,314,2.208148108150229,1.6232834052387746,0.7575612113184171
1h,gru + lightgbm + tft + random_forest,ridge_10.0,1254,940,314,2.2081209157444017,1.6233416294345306,0.7575671823430181
1h,gru + lightgbm + tft + random_forest,elasticnet,1254,940,314,2.2083818918467606,1.6237505721999361,0.7575098730623062
3h,tft + lightgbm + gru,linear_regression,1222,916,306,3.2499511433777353,2.078844785111224,0.5330291731520822
3h,tft + lightgbm + gru,ridge_0.1,1222,916,306,3.2499587970516535,2.078857001598732,0.5330269737056974
3h,tft + lightgbm + gru,ridge_1.0,1222,916,306,3.250027709437026,2.0789669162504256,0.5330071700292005
3h,tft + lightgbm + gru,ridge_10.0,1222,916,306,3.2507197146473015,2.0800627335031088,0.5328082819552337
3h,tft + lightgbm + gru,elasticnet,1222,916,306,3.250925883277182,2.080206769410595,0.5327490191831152
3h,tft + lightgbm + gru + random_forest,linear_regression,1222,916,306,3.230381149440955,2.0376546859990876,0.5386360891815224
3h,tft + lightgbm + gru + random_forest,ridge_0.1,1222,916,306,3.230385962420579,2.037658984620448,0.5386347143983912
3h,tft + lightgbm + gru + random_forest,ridge_1.0,1222,916,306,3.2304293402188624,2.037697660491338,0.538622323838938
3h,tft + lightgbm + gru + random_forest,ridge_10.0,1222,916,306,3.2308691068545765,2.038083802302555,0.5384966982346509
3h,tft + lightgbm + gru + random_forest,elasticnet,1222,916,306,3.231323055331919,2.038570199413231,0.5383670034486043
6h,tft + gru + random_forest,linear_regression,1222,916,306,3.789705470670802,2.460374838441228,0.21252590242111413
6h,tft + gru + random_forest,ridge_0.1,1222,916,306,3.7897082807941334,2.4603878136196906,0.21252473457302035
6h,tft + gru + random_forest,ridge_1.0,1222,916,306,3.7897335879894425,2.460504580349378,0.2125142172163228
6h,tft + gru + random_forest,ridge_10.0,1222,916,306,3.7899882476117757,2.461671270058306,0.2124083799244525
6h,tft + gru + random_forest,elasticnet,1222,916,306,3.787772697349075,2.4589746841897977,0.21332893095308092
6h,tft + gru + random_forest + lightgbm,linear_regression,1222,916,306,3.820494604122284,2.5096398840455794,0.19967839430272638
6h,tft + gru + random_forest + lightgbm,ridge_0.1,1222,916,306,3.820499967141916,2.509656950736209,0.19967614739810213
6h,tft + gru + random_forest + lightgbm,ridge_1.0,1222,916,306,3.8205482455909436,2.509810528949354,0.19965592039180136
6h,tft + gru + random_forest + lightgbm,ridge_10.0,1222,916,306,3.8210321422148104,2.5113441367002554,0.19945317026321785
6h,tft + gru + random_forest + lightgbm,elasticnet,1222,916,306,3.817443066936084,2.5065406107286177,0.20095636276601658
