horizon,models,oof_rows,oof_rmse,oof_mae,oof_r2,test_rmse,test_mae,test_r2,equal_test_rmse,fallback_rate_percent,weights
1h,gru + lightgbm + tft + random_forest,1254,2.32408771103018,1.6325447057825924,0.8285124722687701,3.9344702467612587,2.218447520747585,0.7591087181492585,3.939615106834525,10.211267605633804,"{""prediction_gru"": 0.3303823544614056, ""prediction_lightgbm"": 0.1689663362657028, ""prediction_tft"": 0.28005241095446837, ""prediction_random_forest"": 0.22059889831842333}"
1h,gru + lightgbm + tft + xgboost,1254,2.345181925244565,1.6513728450751117,0.8253853863307057,3.9247775064012758,2.2220520038782157,0.7602941486867638,3.963723685973444,10.211267605633804,"{""prediction_gru"": 0.34511237248087684, ""prediction_lightgbm"": 0.33724159695915035, ""prediction_tft"": 0.30440170269072797, ""prediction_xgboost"": 0.01324432786924495}"
1h,gru + lightgbm + tft,1254,2.3452155536675177,1.651367629452238,0.8253803785689457,3.9231696676356176,2.22110153515549,0.7604905060168627,3.9216485396003384,10.211267605633804,"{""prediction_gru"": 0.34469783242131785, ""prediction_lightgbm"": 0.34947666812591954, ""prediction_tft"": 0.30582549945276266}"
1h,gru + tft,1254,2.4018629747521443,1.6727379353011822,0.8168428126500529,4.112373332322174,2.308216065899114,0.736831672664465,4.1073787522869,10.211267605633804,"{""prediction_gru"": 0.5682805622442506, ""prediction_tft"": 0.43171943775574945}"
1h,gru + lightgbm,1255,2.4380491006324427,1.7536608826841331,0.811132001866131,4.089008429574929,2.3223942695132154,0.7398136171745016,4.098806003060323,10.211267605633804,"{""prediction_gru"": 0.413090756134054, ""prediction_lightgbm"": 0.586909243865946}"
1h,lightgbm + tft,1350,2.578030490530325,1.7501986908753042,0.7963701112039769,3.9171095286673516,2.203079552654423,0.7612298774442493,3.9063806601917928,0.0,"{""prediction_lightgbm"": 0.6650091876063925, ""prediction_tft"": 0.3349908123936075}"
3h,tft + gru,1222,2.754318389287619,1.889609100635235,0.7080357081111078,4.340062418256875,2.4737118093518244,0.7012263565410883,4.736164016517326,0.0,"{""prediction_tft"": 1.0, ""prediction_gru"": 0.0}"
3h,tft + lightgbm + gru,1222,2.7543183892876195,1.8896091006352354,0.7080357081111077,4.340062418256875,2.4737118093518244,0.7012263565410883,4.281887340540833,0.0,"{""prediction_tft"": 0.9999999999999998, ""prediction_lightgbm"": 0.0, ""prediction_gru"": 2.2204460492503126e-16}"
3h,tft + lightgbm + gru + random_forest,1222,2.7543183892876195,1.8896091006352354,0.7080357081111077,4.340062418256875,2.4737118093518244,0.7012263565410883,4.307991005628429,0.0,"{""prediction_tft"": 0.9999999999999996, ""prediction_lightgbm"": 0.0, ""prediction_gru"": 3.6082248300317573e-16, ""prediction_random_forest"": 5.55111512312578e-17}"
3h,tft + lightgbm,1350,2.7631866289568072,1.8830038979141799,0.7137285496759591,4.340062418256875,2.4737118093518244,0.7012263565410883,4.097326965505338,0.0,"{""prediction_tft"": 1.0, ""prediction_lightgbm"": 0.0}"
3h,tft + random_forest,1350,2.7631866289568077,1.8830038979141799,0.7137285496759591,4.340062418256875,2.4737118093518244,0.7012263565410883,4.231220858940461,0.0,"{""prediction_tft"": 0.9999999999999999, ""prediction_random_forest"": 1.6653345369377348e-16}"
6h,tft + gru + random_forest,1222,2.7987890027124456,1.905728108056107,0.6587615519703061,4.693012801205592,2.6224731223508457,0.6423466806184849,4.28885197017408,0.0,"{""prediction_tft"": 0.9482993167677838, ""prediction_gru"": 2.1155494890623405e-17, ""prediction_random_forest"": 0.051700683232216216}"
6h,tft + gru + random_forest + lightgbm,1222,2.7987890027124482,1.9057281105943848,0.6587615519703055,4.693012762308577,2.622473104421706,0.6423466865471483,4.251457530232637,0.0,"{""prediction_tft"": 0.9482992985119124, ""prediction_gru"": 0.0, ""prediction_random_forest"": 0.05170070148808763, ""prediction_lightgbm"": 6.8896313972342116e-18}"
6h,tft + gru,1222,2.8089200939986445,1.906359367089654,0.6562866423410718,4.808986555306451,2.677732566035155,0.6244516067811483,4.392102021468654,0.0,"{""prediction_tft"": 0.9999999999999997, ""prediction_gru"": 3.33066907387547e-16}"
6h,tft + random_forest,1350,2.9565785921873773,1.9555831175476315,0.6268076400678051,4.684105378708033,2.6183890946207686,0.6437030570166042,4.2632924905308816,0.0,"{""prediction_tft"": 0.9441002401866139, ""prediction_random_forest"": 0.0558997598133861}"
6h,tft + lightgbm,1350,2.968243887554689,1.9502114521607463,0.6238569406537123,4.750560919833281,2.6457964434562844,0.6335214454384712,4.175588971436917,0.0,"{""prediction_tft"": 0.9752399057454489, ""prediction_lightgbm"": 0.024760094254551033}"
